,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
474,Lasith Malinga,3.4,13,5,16,3.54,4.4,DC,Arun Jaitley Stadium,10 April 2011
475,Chris Gayle,3.0,11,0,10,3.66,0.0,MI,Chidambaram,27 May 2011
476,Praveen Kumar,3.0,11,0,13,3.66,0.0,RCB,HPCA Stadium,17 May 2011
477,Siddharth Trivedi,4.0,15,3,13,3.75,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
478,Daniel Vettori,4.0,15,2,15,3.75,12.0,CSK,M. Chinnaswamy Stadium,22 May 2011
479,Iqbal Abdulla,4.0,15,1,13,3.75,24.0,CSK,Eden Gardens,07 May 2011
480,RP Singh,4.0,15,0,10,3.75,0.0,MI,Wankhede Stadium,15 April 2011
481,Ali Murtaza,4.0,15,0,14,3.75,0.0,RR,Sawai Mansingh Stadium,29 April 2011
482,Ishant Sharma,3.0,12,5,12,4.0,3.6,KTK,Jawaharlal Nehru Stadium,27 April 2011
483,Piyush Chawla,4.0,16,3,14,4.0,8.0,DC,HPCA Stadium,15 May 2011
484,Ravichandran Ashwin,4.0,16,3,10,4.0,8.0,RCB,Chidambaram,28 May 2011
485,Shane Warne,4.0,16,3,11,4.0,8.0,KTK,Sawai Mansingh Stadium,24 April 2011
486,Shanthakumaran Sreesanth,4.0,16,2,16,4.0,12.0,RR,Holkar Cricket Stadium,15 May 2011
487,Shakib Al Hasan,4.0,16,2,13,4.0,12.0,PWI,DY Patil Stadium,19 May 2011
488,Ishant Sharma,4.0,16,2,16,4.0,12.0,DC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
489,Ravichandran Ashwin,3.0,12,2,12,4.0,9.0,KKR,Eden Gardens,07 May 2011
490,Iqbal Abdulla,3.0,12,1,11,4.0,18.0,PWI,DY Patil Stadium,19 May 2011
491,Ryan Harris,4.0,16,1,14,4.0,24.0,DC,HPCA Stadium,15 May 2011
492,Irfan Pathan,4.0,16,1,11,4.0,24.0,KKR,Arun Jaitley Stadium,28 April 2011
493,Chris Gayle,2.0,8,1,4,4.0,12.0,PWI,M. Chinnaswamy Stadium,29 April 2011
494,Jesse Ryder,2.0,8,1,5,4.0,12.0,KTK,DY Patil Stadium,13 April 2011
495,Ravichandran Ashwin,4.0,16,1,9,4.0,24.0,KTK,Chidambaram,18 May 2011
496,Alfonso Thomas,4.0,16,1,14,4.0,24.0,MI,Wankhede Stadium,20 April 2011
497,Roelof van der Merwe,4.0,16,0,14,4.0,0.0,MI,Arun Jaitley Stadium,10 April 2011
498,Pragyan Ojha,4.0,16,0,16,4.0,0.0,MI,Wankhede Stadium,14 May 2011
499,Dan Christian,3.0,12,0,8,4.0,0.0,CSK,Chidambaram,01 May 2011
500,Dan Christian,3.0,12,0,11,4.0,0.0,KTK,Jawaharlal Nehru Stadium,27 April 2011
501,Suresh Raina,4.0,16,0,11,4.0,0.0,DC,Chidambaram,12 May 2011
502,Piyush Chawla,4.0,17,4,15,4.25,6.0,RCB,HPCA Stadium,17 May 2011
503,Yuvraj Singh,4.0,17,2,9,4.25,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011
504,Rahul Sharma,4.0,17,2,12,4.25,12.0,PBKS,IS Bindra Stadium,08 May 2011
505,Shane Warne,4.0,17,2,15,4.25,12.0,DC,Sawai Mansingh Stadium,12 April 2011
506,Praveen Kumar,4.0,17,1,15,4.25,24.0,PWI,IS Bindra Stadium,08 May 2011
507,Daniel Vettori,4.0,17,1,11,4.25,24.0,KTK,Jawaharlal Nehru Stadium,09 April 2011
508,Lasith Malinga,4.0,17,1,12,4.25,24.0,DEC,Wankhede Stadium,14 May 2011
509,Shane Warne,4.0,17,1,9,4.25,24.0,KKR,Eden Gardens,17 April 2011
510,RP Singh,4.0,17,1,17,4.25,24.0,RR,Holkar Cricket Stadium,15 May 2011
511,Ankeet Chavan,4.0,17,0,14,4.25,0.0,MI,Wankhede Stadium,20 May 2011
512,Dan Christian,3.0,13,2,14,4.33,9.0,PWI,DY Patil Stadium,16 May 2011
513,Pragyan Ojha,3.0,13,1,9,4.33,18.0,PWI,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011
514,Dale Steyn,3.0,13,1,11,4.33,18.0,PBKS,HPCA Stadium,21 May 2011
515,Harbhajan Singh,4.0,18,5,10,4.5,4.8,CSK,Wankhede Stadium,22 April 2011
516,Morne Morkel,4.0,18,3,12,4.5,8.0,KTK,Jawaharlal Nehru Stadium,30 April 2011
