,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
852,Dhawal Kulkarni,4.0,19,3,15,4.75,8.0,RCB,Wankhede Stadium,27 April 2013
853,Amit Mishra,4.0,19,3,10,4.75,8.0,PWI,Rajiv Gandhi Intl. Cricket Stadium,05 April 2013
854,Azhar Mahmood,4.0,19,2,10,4.75,12.0,PWI,Maharashtra Cricket Association's International Stadium,07 April 2013
855,Dwayne Bravo,4.0,19,2,8,4.75,12.0,DC,Chidambaram,14 May 2013
856,Mitchell Johnson,4.0,19,2,13,4.75,12.0,CSK,Eden Gardens,26 May 2013
857,Ravichandran Ashwin,4.0,19,2,8,4.75,12.0,DC,Chidambaram,14 May 2013
858,Praveen Kumar,4.0,19,1,13,4.75,24.0,DC,HPCA Stadium,16 May 2013
859,Piyush Chawla,4.0,19,1,11,4.75,24.0,PWI,Maharashtra Cricket Association's International Stadium,07 April 2013
860,Thisara Perera,4.0,19,1,10,4.75,24.0,PBKS,IS Bindra Stadium,11 May 2013
861,Shane Watson,4.0,19,1,7,4.75,24.0,PBKS,IS Bindra Stadium,09 May 2013
862,James Faulkner,3.2,16,3,11,4.8,6.66,MI,Sawai Mansingh Stadium,17 April 2013
863,James Faulkner,4.0,20,5,13,5.0,4.8,SRH,Sawai Mansingh Stadium,27 April 2013
864,Thisara Perera,4.0,20,3,13,5.0,8.0,PWI,Maharashtra Cricket Association's International Stadium,17 April 2013
865,James Faulkner,4.0,20,3,8,5.0,8.0,CSK,Chidambaram,22 April 2013
866,Ravindra Jadeja,4.0,20,3,10,5.0,8.0,KKR,Eden Gardens,20 April 2013
867,Dale Steyn,4.0,20,2,13,5.0,12.0,PBKS,IS Bindra Stadium,11 May 2013
868,Shanthakumaran Sreesanth,4.0,20,2,13,5.0,12.0,PBKS,Sawai Mansingh Stadium,14 April 2013
869,Syed Mohammad,3.0,15,2,6,5.0,9.0,CSK,Chidambaram,13 April 2013
870,Ravichandran Ashwin,4.0,20,2,7,5.0,12.0,RR,Chidambaram,22 April 2013
871,Jason Holder,4.0,20,2,14,5.0,12.0,RR,Sawai Mansingh Stadium,12 May 2013
872,Piyush Chawla,4.0,20,2,15,5.0,12.0,MI,HPCA Stadium,18 May 2013
873,Sunil Narine,4.0,20,1,10,5.0,24.0,RR,Eden Gardens,03 May 2013
874,Brett Lee,4.0,20,1,14,5.0,24.0,RR,Sawai Mansingh Stadium,08 April 2013
875,Lakshmipathy Balaji,4.0,20,1,10,5.0,24.0,DC,Eden Gardens,03 April 2013
876,Lasith Malinga,4.0,20,1,12,5.0,24.0,DC,Wankhede Stadium,09 April 2013
877,Piyush Chawla,4.0,20,1,10,5.0,24.0,SRH,IS Bindra Stadium,11 May 2013
878,Sunil Narine,4.0,20,1,8,5.0,24.0,CSK,Eden Gardens,20 April 2013
879,Praveen Kumar,3.0,15,1,10,5.0,18.0,MI,HPCA Stadium,18 May 2013
880,Mitchell Johnson,3.0,15,1,11,5.0,18.0,RCB,M. Chinnaswamy Stadium,04 April 2013
881,Siddharth Trivedi,4.0,20,1,6,5.0,24.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2013
882,Amit Mishra,4.0,20,1,8,5.0,24.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,19 May 2013
883,RP Singh,4.0,20,1,14,5.0,24.0,PWI,M. Chinnaswamy Stadium,23 April 2013
884,Karn Sharma,3.0,15,1,10,5.0,18.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,19 May 2013
885,Anand Rajan,4.0,20,1,11,5.0,24.0,DC,Arun Jaitley Stadium,12 April 2013
886,Mohit Sharma,4.0,20,0,16,5.0,0.0,MI,Wankhede Stadium,05 May 2013
887,Shahbaz Nadeem,4.0,20,0,8,5.0,0.0,MI,Arun Jaitley Stadium,21 April 2013
888,Albie Morkel,4.0,20,0,9,5.0,0.0,PBKS,Chidambaram,02 May 2013
889,Vinay Kumar,3.2,17,2,11,5.1,10.0,KKR,JSCA Stadium,12 May 2013
890,Ravi Rampaul,3.4,19,2,15,5.18,11.0,RR,M. Chinnaswamy Stadium,20 April 2013
891,Mohit Sharma,4.0,21,3,11,5.25,8.0,PWI,Maharashtra Cricket Association's International Stadium,30 April 2013
892,Azhar Mahmood,4.0,21,3,11,5.25,8.0,KKR,IS Bindra Stadium,16 April 2013
893,Sandeep Sharma,4.0,21,3,12,5.25,8.0,SRH,IS Bindra Stadium,11 May 2013
894,Rahul Sharma,4.0,21,2,12,5.25,12.0,SRH,Maharashtra Cricket Association's International Stadium,17 April 2013
895,Pragyan Ojha,4.0,21,2,9,5.25,12.0,KKR,Eden Gardens,24 April 2013
896,Dale Steyn,4.0,21,2,14,5.25,12.0,DC,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013
897,Dhawal Kulkarni,4.0,21,2,12,5.25,12.0,RR,Wankhede Stadium,15 May 2013
898,Ravi Rampaul,4.0,21,2,14,5.25,12.0,PWI,M. Chinnaswamy Stadium,23 April 2013
899,Harbhajan Singh,4.0,21,2,10,5.25,12.0,RCB,Wankhede Stadium,27 April 2013
900,Ravichandran Ashwin,2.0,3,2,10,1.5,6.0,DC,Zayed Cricket Stadium,21 April 2014
901,Jaydev Unadkat,2.0,3,1,10,1.5,12.0,PBKS,IS Bindra Stadium,25 May 2014
902,Shane Watson,2.0,5,1,9,2.5,12.0,RCB,Zayed Cricket Stadium,26 April 2014
903,Axar Patel,4.0,11,2,13,2.75,12.0,KKR,Eden Gardens,28 May 2014
904,Ravindra Jadeja,4.0,12,4,14,3.0,6.0,KKR,JSCA Stadium,02 May 2014
905,Varun Aaron,3.0,9,1,12,3.0,18.0,DC,Sharjah Cricket Stadium,17 April 2014
906,Suresh Raina,2.0,6,0,6,3.0,0.0,RR,Dubai International Stadium,23 April 2014
907,Lakshmipathy Balaji,4.0,13,4,12,3.25,6.0,SRH,Sharjah Cricket Stadium,22 April 2014
908,Umesh Yadav,4.0,13,3,15,3.25,8.0,PBKS,Eden Gardens,28 May 2014
909,Harbhajan Singh,4.0,13,2,17,3.25,12.0,RR,Narendra Modi Stadium,19 May 2014
910,Rajat Bhatia,4.0,13,2,11,3.25,12.0,CSK,Dubai International Stadium,23 April 2014
911,Shakib Al Hasan,4.0,13,1,12,3.25,24.0,DC,Arun Jaitley Stadium,07 May 2014
912,Amit Mishra,4.0,13,0,13,3.25,0.0,RR,Narendra Modi Stadium,08 May 2014
913,Bhuvneshwar Kumar,4.0,14,4,17,3.5,6.0,RR,Narendra Modi Stadium,08 May 2014
914,Mohit Sharma,4.0,14,4,14,3.5,6.0,MI,Dubai International Stadium,25 April 2014
915,Rishi Dhawan,4.0,14,2,11,3.5,12.0,RCB,Dubai International Stadium,28 April 2014
916,Ashok Dinda,4.0,14,1,12,3.5,24.0,MI,Dubai International Stadium,19 April 2014
917,Harbhajan Singh,4.0,14,0,12,3.5,0.0,RCB,Dubai International Stadium,19 April 2014
918,Lasith Malinga,4.0,15,2,10,3.75,12.0,CSK,Wankhede Stadium,10 May 2014
919,Mitchell Starc,4.0,15,0,16,3.75,0.0,PBKS,Dubai International Stadium,28 April 2014
920,Varun Aaron,4.0,16,3,13,4.0,8.0,KKR,Sharjah Cricket Stadium,24 April 2014
921,Axar Patel,4.0,16,2,11,4.0,12.0,KKR,Zayed Cricket Stadium,26 April 2014
922,Bhuvneshwar Kumar,4.0,16,2,18,4.0,12.0,RCB,M. Chinnaswamy Stadium,04 May 2014
923,Karanveer Singh,4.0,16,2,12,4.0,12.0,RR,IS Bindra Stadium,23 May 2014
924,Ravichandran Ashwin,4.0,16,2,17,4.0,12.0,RCB,JSCA Stadium,18 May 2014
925,Morne Morkel,4.0,16,1,16,4.0,24.0,MI,Zayed Cricket Stadium,16 April 2014
926,Ashok Dinda,2.0,8,0,7,4.0,0.0,RR,Zayed Cricket Stadium,26 April 2014
927,Harbhajan Singh,4.0,16,0,9,4.0,0.0,SRH,Dubai International Stadium,30 April 2014
928,Ravi Rampaul,4.0,16,0,13,4.0,0.0,RR,Zayed Cricket Stadium,26 April 2014
929,Karn Sharma,2.0,8,0,5,4.0,0.0,RR,Zayed Cricket Stadium,18 April 2014
930,Karn Sharma,4.0,17,3,14,4.25,8.0,RCB,M. Chinnaswamy Stadium,04 May 2014
931,Lasith Malinga,4.0,17,2,14,4.25,12.0,DC,Sharjah Cricket Stadium,27 April 2014
932,Yuzvendra Chahal,4.0,17,2,9,4.25,12.0,MI,Dubai International Stadium,19 April 2014
933,Bhuvneshwar Kumar,4.0,17,2,16,4.25,12.0,MI,Dubai International Stadium,30 April 2014
934,Wayne Parnell,4.0,17,1,17,4.25,24.0,MI,Sharjah Cricket Stadium,27 April 2014
935,Sunil Narine,4.0,17,1,14,4.25,24.0,RCB,Sharjah Cricket Stadium,24 April 2014
936,Lakshmipathy Balaji,4.0,17,1,11,4.25,24.0,RCB,Dubai International Stadium,28 April 2014
937,Ravichandran Ashwin,4.0,17,0,9,4.25,0.0,SRH,Sharjah Cricket Stadium,27 April 2014
938,JP Duminy,3.0,13,0,9,4.33,0.0,MI,Sharjah Cricket Stadium,27 April 2014
939,Kane Richardson,4.0,18,2,11,4.5,12.0,RCB,Zayed Cricket Stadium,26 April 2014
940,Ravindra Jadeja,4.0,18,2,10,4.5,12.0,RR,JSCA Stadium,13 May 2014
941,Ben Hilfenhaus,2.0,9,1,7,4.5,12.0,DC,Zayed Cricket Stadium,21 April 2014
942,Yuzvendra Chahal,4.0,18,1,11,4.5,24.0,DC,Sharjah Cricket Stadium,17 April 2014
943,Abu Nechim,4.0,18,1,7,4.5,24.0,CSK,JSCA Stadium,18 May 2014
944,Sunil Narine,4.0,18,1,9,4.5,24.0,DC,Dubai International Stadium,19 April 2014
945,Sunil Narine,4.0,18,1,10,4.5,24.0,MI,Barabati Stadium,14 May 2014
946,Axar Patel,4.0,18,1,12,4.5,24.0,DC,Arun Jaitley Stadium,19 May 2014
947,Piyush Chawla,4.0,19,3,7,4.75,8.0,PBKS,Barabati Stadium,11 May 2014
948,Piyush Chawla,4.0,19,3,10,4.75,8.0,PBKS,Zayed Cricket Stadium,26 April 2014
949,Bhuvneshwar Kumar,4.0,19,3,15,4.75,8.0,PBKS,Sharjah Cricket Stadium,22 April 2014
950,Karn Sharma,4.0,19,2,12,4.75,12.0,CSK,JSCA Stadium,22 May 2014
951,Mitchell Johnson,4.0,19,2,12,4.75,12.0,RCB,Dubai International Stadium,28 April 2014
952,Samuel Badree,4.0,19,1,15,4.75,24.0,RR,JSCA Stadium,13 May 2014
953,Shahbaz Nadeem,4.0,19,1,9,4.75,24.0,MI,Sharjah Cricket Stadium,27 April 2014
954,Karn Sharma,4.0,19,1,9,4.75,24.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,18 May 2014
955,Sunil Narine,4.0,19,0,10,4.75,0.0,SRH,Eden Gardens,24 May 2014
956,Sunil Narine,4.0,20,4,13,5.0,6.0,MI,Zayed Cricket Stadium,16 April 2014
957,Sunil Narine,4.0,20,4,9,5.0,6.0,RCB,Eden Gardens,22 May 2014
958,Pravin Tambe,4.0,20,4,14,5.0,6.0,RCB,Zayed Cricket Stadium,26 April 2014
959,Sandeep Sharma,3.0,15,3,12,5.0,6.0,RCB,Dubai International Stadium,28 April 2014
960,Dale Steyn,4.0,20,2,15,5.0,12.0,MI,Dubai International Stadium,30 April 2014
961,Morne Morkel,4.0,20,2,16,5.0,12.0,PBKS,Barabati Stadium,11 May 2014
962,Dale Steyn,4.0,20,2,11,5.0,12.0,DC,Arun Jaitley Stadium,10 May 2014
963,Ankit Sharma,4.0,20,2,12,5.0,12.0,CSK,JSCA Stadium,13 May 2014
964,Irfan Pathan,2.0,10,2,4,5.0,6.0,MI,Dubai International Stadium,30 April 2014
965,Parvinder Awana,3.0,15,2,11,5.0,9.0,DC,IS Bindra Stadium,25 May 2014
966,Axar Patel,4.0,20,2,10,5.0,12.0,SRH,Sharjah Cricket Stadium,22 April 2014
967,Piyush Chawla,3.0,15,1,7,5.0,18.0,MI,Zayed Cricket Stadium,16 April 2014
968,Albie Morkel,4.0,20,1,12,5.0,24.0,PBKS,M. Chinnaswamy Stadium,09 May 2014
969,Karn Sharma,4.0,20,1,6,5.0,24.0,RR,Narendra Modi Stadium,08 May 2014
970,Praveen Kumar,4.0,20,1,16,5.0,24.0,PBKS,IS Bindra Stadium,21 May 2014
971,Dale Steyn,4.0,20,0,12,5.0,0.0,CSK,Sharjah Cricket Stadium,27 April 2014
972,Ravichandran Ashwin,4.0,20,0,9,5.0,0.0,MI,Dubai International Stadium,25 April 2014
973,James Faulkner,4.0,20,0,9,5.0,0.0,SRH,Narendra Modi Stadium,08 May 2014
974,Suresh Raina,4.0,20,0,9,5.0,0.0,RCB,JSCA Stadium,18 May 2014
975,Axar Patel,4.0,20,0,12,5.0,0.0,KKR,Barabati Stadium,11 May 2014
976,JP Duminy,2.0,10,0,6,5.0,0.0,RCB,Sharjah Cricket Stadium,17 April 2014
977,Samuel Badree,3.0,15,0,7,5.0,0.0,RCB,JSCA Stadium,18 May 2014
978,Shane Watson,4.0,21,3,12,5.25,8.0,KKR,Narendra Modi Stadium,05 May 2014
979,Sandeep Sharma,4.0,21,3,16,5.25,8.0,KKR,Zayed Cricket Stadium,26 April 2014
980,Wayne Parnell,4.0,21,2,11,5.25,12.0,KKR,Arun Jaitley Stadium,07 May 2014
981,Mitchell Starc,4.0,21,2,11,5.25,12.0,SRH,M. Chinnaswamy Stadium,04 May 2014
982,Bhuvneshwar Kumar,4.0,21,2,12,5.25,12.0,MI,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014
983,Mitchell Starc,4.0,21,2,11,5.25,12.0,MI,Dubai International Stadium,19 April 2014
984,Zaheer Khan,4.0,21,2,12,5.25,12.0,RCB,Dubai International Stadium,19 April 2014
985,Pravin Tambe,4.0,21,1,7,5.25,24.0,SRH,Narendra Modi Stadium,08 May 2014
986,Sunil Narine,4.0,21,1,13,5.25,24.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,18 May 2014
987,Ravichandran Ashwin,4.0,21,1,11,5.25,24.0,KKR,JSCA Stadium,02 May 2014
988,Shakib Al Hasan,4.0,21,1,13,5.25,24.0,MI,Barabati Stadium,14 May 2014
989,Axar Patel,4.0,21,0,10,5.25,0.0,KKR,M. Chinnaswamy Stadium,01 June 2014
990,Ishwar Pandey,4.0,21,0,12,5.25,0.0,MI,Dubai International Stadium,25 April 2014
991,Morne Morkel,4.0,21,0,14,5.25,0.0,RCB,Eden Gardens,22 May 2014
992,Mohit Sharma,3.0,16,1,9,5.33,18.0,RCB,M. Chinnaswamy Stadium,24 May 2014
993,Tim Southee,3.0,16,0,9,5.33,0.0,RCB,Zayed Cricket Stadium,26 April 2014
994,James Faulkner,2.0,11,3,7,5.5,4.0,KKR,Zayed Cricket Stadium,29 April 2014
995,Imran Tahir,4.0,22,3,11,5.5,8.0,PBKS,Arun Jaitley Stadium,19 May 2014
996,Harbhajan Singh,4.0,22,2,10,5.5,12.0,KKR,Barabati Stadium,14 May 2014
997,Karanveer Singh,4.0,22,2,8,5.5,12.0,DC,IS Bindra Stadium,25 May 2014
998,Jasprit Bumrah,4.0,22,2,12,5.5,12.0,RCB,Wankhede Stadium,06 May 2014
999,Rajat Bhatia,4.0,22,2,7,5.5,12.0,SRH,Zayed Cricket Stadium,18 April 2014
1000,Dwayne Smith,2.0,11,1,4,5.5,12.0,SRH,Sharjah Cricket Stadium,27 April 2014
1001,Moises Henriques,2.0,11,1,5,5.5,12.0,RR,Narendra Modi Stadium,08 May 2014
1002,Ishwar Pandey,4.0,22,1,14,5.5,24.0,RR,Dubai International Stadium,23 April 2014
1003,Axar Patel,4.0,22,1,14,5.5,24.0,RR,Sharjah Cricket Stadium,20 April 2014
1004,Rishi Dhawan,4.0,22,1,11,5.5,24.0,DC,IS Bindra Stadium,25 May 2014
1005,Mohammad Shami,4.0,22,1,10,5.5,24.0,RR,Arun Jaitley Stadium,03 May 2014
1006,Axar Patel,4.0,22,1,7,5.5,24.0,RCB,M. Chinnaswamy Stadium,09 May 2014
1007,Axar Patel,2.0,11,0,5,5.5,0.0,RCB,Dubai International Stadium,28 April 2014
1008,Lasith Malinga,4.0,22,0,11,5.5,0.0,CSK,Dubai International Stadium,25 April 2014
1009,Harbhajan Singh,4.0,22,0,10,5.5,0.0,CSK,Wankhede Stadium,10 May 2014
1010,Mohit Sharma,3.0,17,1,6,5.66,18.0,DC,Zayed Cricket Stadium,21 April 2014
1011,Rahul Tewatia,3.0,17,1,9,5.66,18.0,RCB,M. Chinnaswamy Stadium,11 May 2014
1012,Yuzvendra Chahal,3.0,17,1,13,5.66,18.0,RR,Zayed Cricket Stadium,26 April 2014
1013,Lasith Malinga,4.0,23,4,10,5.75,6.0,KKR,Zayed Cricket Stadium,16 April 2014
1014,Rajat Bhatia,4.0,23,3,6,5.75,8.0,SRH,Narendra Modi Stadium,08 May 2014
1015,Ankit Sharma,4.0,23,2,10,5.75,12.0,MI,Narendra Modi Stadium,19 May 2014
1016,Dhawal Kulkarni,4.0,23,2,11,5.75,12.0,SRH,Zayed Cricket Stadium,18 April 2014
1017,Yuzvendra Chahal,4.0,23,2,8,5.75,12.0,PBKS,Dubai International Stadium,28 April 2014
1018,Rishi Dhawan,4.0,23,2,12,5.75,12.0,MI,Wankhede Stadium,03 May 2014
1019,Bhuvneshwar Kumar,4.0,23,2,10,5.75,12.0,CSK,Sharjah Cricket Stadium,27 April 2014
1020,Yuzvendra Chahal,4.0,23,2,7,5.75,12.0,PBKS,M. Chinnaswamy Stadium,09 May 2014
1021,Morne Morkel,4.0,23,2,14,5.75,12.0,PBKS,Eden Gardens,28 May 2014
1022,Ishwar Pandey,4.0,23,2,13,5.75,12.0,DC,Zayed Cricket Stadium,21 April 2014
1023,Zaheer Khan,4.0,23,1,11,5.75,24.0,KKR,Zayed Cricket Stadium,16 April 2014
1024,Piyush Chawla,4.0,23,1,7,5.75,24.0,PBKS,Eden Gardens,28 May 2014
1025,Ravindra Jadeja,4.0,23,1,10,5.75,24.0,DC,Arun Jaitley Stadium,05 May 2014
1026,Shakib Al Hasan,4.0,23,1,8,5.75,24.0,RR,Zayed Cricket Stadium,29 April 2014
1027,Karn Sharma,4.0,23,1,10,5.75,24.0,DC,Dubai International Stadium,25 April 2014
1028,Axar Patel,4.0,23,1,8,5.75,24.0,CSK,Wankhede Stadium,30 May 2014
1029,Bhuvneshwar Kumar,4.0,23,1,10,5.75,24.0,DC,Arun Jaitley Stadium,10 May 2014
1030,Mitchell Starc,4.0,23,0,9,5.75,0.0,CSK,JSCA Stadium,18 May 2014
1031,Mohammad Shami,4.0,23,0,8,5.75,0.0,KKR,Arun Jaitley Stadium,07 May 2014
1032,Pravin Tambe,4.0,23,0,8,5.75,0.0,SRH,Zayed Cricket Stadium,18 April 2014
1033,Harbhajan Singh,4.0,23,0,10,5.75,0.0,DC,Sharjah Cricket Stadium,27 April 2014
1034,Dale Steyn,4.0,23,0,9,5.75,0.0,RCB,Rajiv Gandhi Intl. Cricket Stadium,20 May 2014
1035,Sunil Narine,4.0,24,3,11,6.0,8.0,PBKS,Zayed Cricket Stadium,26 April 2014
1036,Axar Patel,4.0,24,3,6,6.0,8.0,RR,IS Bindra Stadium,23 May 2014
1037,Rajat Bhatia,3.0,18,2,7,6.0,9.0,DC,Narendra Modi Stadium,15 May 2014
1038,Bhuvneshwar Kumar,3.3,21,1,9,6.0,21.0,RR,Zayed Cricket Stadium,18 April 2014
1039,Albie Morkel,3.0,18,1,7,6.0,18.0,DC,Sharjah Cricket Stadium,17 April 2014
1040,Shahbaz Nadeem,4.0,24,1,12,6.0,24.0,SRH,Dubai International Stadium,25 April 2014
1041,Dale Steyn,4.0,24,1,10,6.0,24.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,18 May 2014
1042,Rishi Dhawan,4.0,24,1,7,6.0,24.0,KKR,Zayed Cricket Stadium,26 April 2014
1043,Sunil Narine,4.0,24,1,11,6.0,24.0,CSK,Eden Gardens,20 May 2014
1044,Piyush Chawla,4.0,24,1,10,6.0,24.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,18 May 2014
1045,Rahul Tewatia,4.0,24,1,10,6.0,24.0,PBKS,IS Bindra Stadium,23 May 2014
1046,Yuzvendra Chahal,4.0,24,1,8,6.0,24.0,RR,M. Chinnaswamy Stadium,11 May 2014
1047,Dhawal Kulkarni,4.0,24,1,10,6.0,24.0,DC,Narendra Modi Stadium,15 May 2014
1048,Ravichandran Ashwin,4.0,24,0,9,6.0,0.0,KKR,Eden Gardens,20 May 2014
1049,Yuzvendra Chahal,4.0,24,0,8,6.0,0.0,CSK,M. Chinnaswamy Stadium,24 May 2014
1050,Zaheer Khan,4.0,9,2,18,2.25,12.0,CSK,Shaheed Veer Narayan Singh International Cricket Stadium,12 May 2015
1051,Ashish Nehra,4.0,10,4,14,2.5,6.0,RCB,M. Chinnaswamy Stadium,22 April 2015
1052,Ravichandran Ashwin,2.0,5,2,8,2.5,6.0,KKR,Chidambaram,28 April 2015
1053,Ravindra Jadeja,4.0,11,4,11,2.75,6.0,RR,Chidambaram,10 May 2015
1054,Harbhajan Singh,4.0,11,2,15,2.75,12.0,DC,Wankhede Stadium,05 May 2015
1055,Dhawal Kulkarni,3.0,9,2,13,3.0,9.0,SRH,ACA-VDCA Stadium,16 April 2015
1056,Sandeep Sharma,4.0,12,1,14,3.0,24.0,MI,Wankhede Stadium,12 April 2015
1057,Ravichandran Ashwin,4.0,13,1,16,3.25,24.0,RCB,JSCA Stadium,22 May 2015
1058,Mohit Sharma,3.0,10,1,12,3.33,18.0,PBKS,Chidambaram,25 April 2015
1059,Sandeep Sharma,3.0,10,0,12,3.33,0.0,DC,Arun Jaitley Stadium,01 May 2015
1060,Ravichandran Ashwin,4.0,14,2,14,3.5,12.0,PBKS,Chidambaram,25 April 2015
1061,Ravichandran Ashwin,4.0,14,1,14,3.5,24.0,PBKS,IS Bindra Stadium,16 May 2015
1062,Domnic Joseph,2.0,7,1,8,3.5,12.0,MI,Arun Jaitley Stadium,23 April 2015
1063,Ravindra Jadeja,3.0,11,0,10,3.66,0.0,KKR,Chidambaram,28 April 2015
1064,Mitchell Starc,4.0,15,4,14,3.75,6.0,PBKS,M. Chinnaswamy Stadium,06 May 2015
1065,JP Duminy,4.0,15,1,10,3.75,24.0,PBKS,Arun Jaitley Stadium,01 May 2015
1066,Moises Henriques,4.0,16,3,10,4.0,8.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015
1067,Mitchell McClenaghan,4.0,16,3,13,4.0,8.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015
1068,Ashish Nehra,4.0,16,2,15,4.0,12.0,PBKS,Chidambaram,25 April 2015
1069,Karn Sharma,3.0,12,2,11,4.0,9.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
1070,Stuart Binny,2.0,8,1,8,4.0,12.0,MI,Narendra Modi Stadium,14 April 2015
1071,Piyush Chawla,4.0,16,1,8,4.0,24.0,SRH,Eden Gardens,04 May 2015
1072,Jayant Yadav,2.0,8,1,7,4.0,12.0,CSK,Shaheed Veer Narayan Singh International Cricket Stadium,12 May 2015
1073,Suresh Raina,3.0,12,0,8,4.0,0.0,KKR,Chidambaram,28 April 2015
1074,Zaheer Khan,4.0,17,2,13,4.25,12.0,PBKS,Arun Jaitley Stadium,01 May 2015
1075,Brad Hogg,4.0,17,2,10,4.25,12.0,SRH,Eden Gardens,04 May 2015
1076,Lasith Malinga,4.0,17,2,12,4.25,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015
1077,Ravichandran Ashwin,4.0,17,2,15,4.25,12.0,MI,Chidambaram,08 May 2015
1078,Sunil Narine,4.0,17,1,11,4.25,24.0,PBKS,Maharashtra Cricket Association's International Stadium,18 April 2015
1079,Iqbal Abdulla,4.0,17,1,12,4.25,24.0,DC,Arun Jaitley Stadium,26 April 2015
1080,Vinay Kumar,3.0,13,1,11,4.33,18.0,RR,Narendra Modi Stadium,14 April 2015
1081,Dwayne Bravo,3.0,13,0,5,4.33,0.0,PBKS,Chidambaram,25 April 2015
1082,Umesh Yadav,4.0,18,2,11,4.5,12.0,DC,Arun Jaitley Stadium,20 April 2015
1083,Morne Morkel,4.0,18,2,15,4.5,12.0,MI,Eden Gardens,08 April 2015
1084,Ravi Bopara,4.0,18,2,12,4.5,12.0,RR,ACA-VDCA Stadium,16 April 2015
1085,Sandeep Sharma,2.0,9,1,7,4.5,12.0,CSK,IS Bindra Stadium,16 May 2015
1086,Brad Hogg,4.0,18,1,9,4.5,24.0,CSK,Chidambaram,28 April 2015
1087,Beuran Hendricks,2.0,9,1,4,4.5,12.0,RCB,IS Bindra Stadium,13 May 2015
1088,Shahbaz Nadeem,4.0,18,0,15,4.5,0.0,CSK,Shaheed Veer Narayan Singh International Cricket Stadium,12 May 2015
1089,Dwayne Bravo,3.4,17,2,12,4.63,11.0,RCB,Chidambaram,04 May 2015
1090,Jagadeesha Suchith,3.0,14,2,8,4.66,9.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015
1091,Harshal Patel,3.0,14,1,7,4.66,18.0,DC,Arun Jaitley Stadium,26 April 2015
1092,Nathan Coulter-Nile,3.0,14,0,13,4.66,0.0,PBKS,Maharashtra Cricket Association's International Stadium,15 April 2015
1093,Sunil Narine,4.0,19,4,13,4.75,6.0,PBKS,Eden Gardens,09 May 2015
1094,Chris Morris,4.0,19,3,12,4.75,8.0,CSK,Chidambaram,10 May 2015
1095,Trent Boult,4.0,19,3,14,4.75,8.0,PBKS,IS Bindra Stadium,27 April 2015
1096,Ashish Nehra,4.0,19,3,13,4.75,8.0,RCB,Chidambaram,04 May 2015
1097,Harshal Patel,4.0,19,2,13,4.75,12.0,CSK,Chidambaram,04 May 2015
1098,Jayant Yadav,4.0,19,1,10,4.75,24.0,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
1099,Chris Morris,4.0,19,1,14,4.75,24.0,CSK,Narendra Modi Stadium,19 April 2015
1100,Sandeep Sharma,4.0,19,1,11,4.75,24.0,RR,Maharashtra Cricket Association's International Stadium,10 April 2015
1101,Nathan Coulter-Nile,4.0,20,4,13,5.0,6.0,PBKS,Arun Jaitley Stadium,01 May 2015
1102,Mitchell Starc,4.0,20,3,14,5.0,8.0,DC,Arun Jaitley Stadium,26 April 2015
1103,Mitchell McClenaghan,4.0,20,3,13,5.0,8.0,SRH,Wankhede Stadium,25 April 2015
1104,Yuzvendra Chahal,4.0,20,2,9,5.0,12.0,RR,Maharashtra Cricket Association's International Stadium,20 May 2015
1105,Harbhajan Singh,4.0,20,2,9,5.0,12.0,PBKS,Wankhede Stadium,12 April 2015
1106,Moises Henriques,4.0,20,2,12,5.0,12.0,CSK,Rajiv Gandhi Intl. Cricket Stadium,02 May 2015
1107,Andre Russell,4.0,20,2,9,5.0,12.0,CSK,Eden Gardens,30 April 2015
1108,Harshal Patel,3.0,15,2,8,5.0,9.0,RR,Maharashtra Cricket Association's International Stadium,20 May 2015
1109,Sreenath Aravind,4.0,20,2,13,5.0,12.0,RR,Maharashtra Cricket Association's International Stadium,20 May 2015
1110,Bhuvneshwar Kumar,4.0,20,1,11,5.0,24.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
1111,Dhawal Kulkarni,3.0,15,1,10,5.0,18.0,MI,Narendra Modi Stadium,14 April 2015
1112,Karn Sharma,4.0,20,1,7,5.0,24.0,RCB,M. Chinnaswamy Stadium,13 April 2015
1113,Parveez Rasool,4.0,20,1,9,5.0,24.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
