,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
465,Mahela Jayawardena,56,36,155.55,9,0,MI,Wankhede Stadium,15 April 2011
466,Ambati Rayudu,63,50,126.0,9,0,RCB,M. Chinnaswamy Stadium,12 April 2011
467,Virender Sehwag,77,35,220.0,8,4,PBKS,Arun Jaitley Stadium,23 April 2011
468,Adam Gilchrist,106,55,192.72,8,9,RCB,HPCA Stadium,17 May 2011
469,Rohit Sharma,87,48,181.25,8,5,CSK,Wankhede Stadium,22 April 2011
470,Virender Sehwag,80,47,170.21,8,5,KTK,Jawaharlal Nehru Stadium,30 April 2011
471,Tillakaratne Dilshan,52,31,167.74,8,1,KTK,M. Chinnaswamy Stadium,08 May 2011
472,Aiden Blizzard,37,23,160.86,8,0,DC,Wankhede Stadium,07 May 2011
473,Paul Valthaty,75,47,159.57,8,5,DEC,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011
474,Tillakaratne Dilshan,38,24,158.33,8,0,RR,Sawai Mansingh Stadium,11 May 2011
475,Michael Hussey,46,30,153.33,8,0,RR,Sawai Mansingh Stadium,09 May 2011
476,Sunny Sohal,62,41,151.21,8,1,DC,Arun Jaitley Stadium,19 April 2011
477,Virat Kohli,56,38,147.36,8,2,DC,Arun Jaitley Stadium,26 April 2011
478,Mahela Jayawardena,76,52,146.15,8,2,PBKS,Holkar Cricket Stadium,13 May 2011
479,Michael Hussey,79,55,143.63,8,1,RR,Chidambaram,04 May 2011
480,Johan Botha,67,47,142.55,8,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
481,Kumar Sangakkara,49,35,140.0,8,1,DC,Arun Jaitley Stadium,19 April 2011
482,Ambati Rayudu,51,37,137.83,8,1,PBKS,Wankhede Stadium,02 May 2011
483,Shaun Marsh,61,47,129.78,8,0,MI,Wankhede Stadium,02 May 2011
484,Eoin Morgan,66,51,129.41,8,2,KTK,Jawaharlal Nehru Stadium,05 May 2011
485,Adam Gilchrist,42,33,127.27,8,1,DC,Arun Jaitley Stadium,23 April 2011
486,Kumar Sangakkara,44,36,122.22,8,0,DC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
487,Subramaniam Badrinath,66,56,117.85,8,0,PBKS,IS Bindra Stadium,13 April 2011
488,Dinesh Karthik,69,33,209.09,7,5,KTK,Holkar Cricket Stadium,13 May 2011
489,Aiden Blizzard,51,30,170.0,7,2,KKR,Wankhede Stadium,25 May 2011
490,Robin Uthappa,35,21,166.66,7,0,RR,Sawai Mansingh Stadium,01 May 2011
491,Sachin Tendulkar,40,24,166.66,7,0,RCB,Chidambaram,27 May 2011
492,Shaun Marsh,79,49,161.22,7,5,RCB,HPCA Stadium,17 May 2011
493,David Warner,77,48,160.41,7,4,PBKS,Arun Jaitley Stadium,23 April 2011
494,Chris Gayle,70,44,159.09,7,4,RR,Sawai Mansingh Stadium,11 May 2011
495,Ambati Rayudu,59,39,151.28,7,2,DC,Wankhede Stadium,07 May 2011
496,Subramaniam Badrinath,71,48,147.91,7,2,MI,Wankhede Stadium,22 April 2011
497,Ajinkya Rahane,52,36,144.44,7,0,CSK,Sawai Mansingh Stadium,09 May 2011
498,Jacques Kallis,54,42,128.57,7,0,CSK,Chidambaram,08 April 2011
499,James Hopes,54,43,125.58,7,0,RCB,Arun Jaitley Stadium,26 April 2011
500,Paul Valthaty,62,50,124.0,7,3,DC,HPCA Stadium,15 May 2011
501,Jacques Kallis,80,65,123.07,7,2,RR,Sawai Mansingh Stadium,15 April 2011
502,Sachin Tendulkar,55,46,119.56,7,0,RCB,M. Chinnaswamy Stadium,12 April 2011
503,Jacques Kallis,53,45,117.77,7,1,DEC,Eden Gardens,11 April 2011
504,Gautam Gambhir,54,46,117.39,7,0,PWI,DY Patil Stadium,19 May 2011
505,Chris Gayle,38,12,316.66,6,2,KKR,M. Chinnaswamy Stadium,14 May 2011
506,Sunny Sohal,56,30,186.66,6,4,CSK,Chidambaram,01 May 2011
507,Eoin Morgan,28,15,186.66,6,0,PBKS,Eden Gardens,30 April 2011
508,Jesse Ryder,31,17,182.35,6,0,PBKS,DY Patil Stadium,10 April 2011
509,Murali Vijay,74,43,172.09,6,4,PBKS,IS Bindra Stadium,13 April 2011
510,Shaun Marsh,71,42,169.04,6,3,RR,IS Bindra Stadium,21 April 2011
511,Suresh Raina,59,35,168.57,6,2,DEC,Chidambaram,01 May 2011
512,David Warner,46,28,164.28,6,2,PWI,DY Patil Stadium,17 April 2011
513,Virender Sehwag,37,23,160.86,6,0,PWI,DY Patil Stadium,17 April 2011
514,Suresh Raina,43,27,159.25,6,0,RR,Sawai Mansingh Stadium,09 May 2011
515,Murali Vijay,28,18,155.55,6,0,KTK,Jawaharlal Nehru Stadium,18 April 2011
516,Subramaniam Badrinath,63,44,143.18,6,2,PWI,DY Patil Stadium,27 April 2011
517,Ryan ten Doeschate,70,49,142.85,6,3,MI,Wankhede Stadium,25 May 2011
518,Sachin Tendulkar,38,27,140.74,6,0,KKR,Eden Gardens,22 May 2011
519,Adam Gilchrist,51,37,137.83,6,2,DEC,HPCA Stadium,21 May 2011
520,Rahul Dravid,43,32,134.37,6,0,MI,Wankhede Stadium,20 May 2011
521,Sachin Tendulkar,36,28,128.57,6,0,KKR,Wankhede Stadium,25 May 2011
522,Subramaniam Badrinath,55,43,127.9,6,1,DC,Chidambaram,12 May 2011
523,Michael Hussey,61,48,127.08,6,1,PWI,Chidambaram,25 April 2011
524,Gautam Gambhir,48,38,126.31,6,0,RCB,Eden Gardens,22 April 2011
525,Michael Hussey,41,33,124.24,6,0,MI,Wankhede Stadium,22 April 2011
526,David Warner,54,44,122.72,6,1,RR,Sawai Mansingh Stadium,12 April 2011
527,Tillakaratne Dilshan,38,31,122.58,6,0,KKR,Eden Gardens,22 April 2011
528,Rahul Dravid,38,31,122.58,6,1,DC,Sawai Mansingh Stadium,12 April 2011
529,Robin Uthappa,45,37,121.62,6,1,MI,Wankhede Stadium,20 April 2011
530,Bharat Chipli,48,40,120.0,6,1,KKR,Eden Gardens,11 April 2011
531,Rahul Dravid,37,31,119.35,6,0,RCB,Sawai Mansingh Stadium,11 May 2011
532,Ryan McLaren,51,43,118.6,6,1,PWI,DY Patil Stadium,10 April 2011
533,Manish Pandey,49,42,116.66,6,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011
534,Srikkanth Anirudha,64,55,116.36,6,2,KKR,Chidambaram,08 April 2011
535,Yuvraj Singh,35,15,233.33,5,2,PBKS,IS Bindra Stadium,08 May 2011
536,Jesse Ryder,60,27,222.22,5,5,DC,DY Patil Stadium,17 April 2011
537,MS Dhoni,63,31,203.22,5,4,DC,Chidambaram,12 May 2011
538,James Franklin,45,23,195.65,5,1,KKR,Eden Gardens,22 May 2011
539,Brendon McCullum,37,19,194.73,5,2,DC,Arun Jaitley Stadium,02 May 2011
540,Brad Hodge,33,17,194.11,5,2,RR,Holkar Cricket Stadium,15 May 2011
541,Travis Birt,27,15,180.0,5,0,KTK,Arun Jaitley Stadium,02 May 2011
542,Jesse Ryder,35,20,175.0,5,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011
543,Bharat Chipli,61,35,174.28,5,3,RCB,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
544,Rohit Sharma,56,34,164.7,5,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
545,Shaun Marsh,46,28,164.28,5,3,DC,HPCA Stadium,15 May 2011
546,Shikhar Dhawan,29,18,161.11,5,0,DC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
547,Davy Jacobs,32,20,160.0,5,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
548,Virat Kohli,70,44,159.09,5,3,CSK,Wankhede Stadium,24 May 2011
549,Manoj Tiwary,35,22,159.09,5,1,MI,Eden Gardens,22 May 2011
550,Virender Sehwag,34,23,147.82,5,1,KKR,Arun Jaitley Stadium,28 April 2011
