,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1827,Sam Curran,4.0,48,1,24.0,RCB,Dubai International Stadium,10 October 2020
1828,Navdeep Saini,3.0,48,0,0.0,DC,Dubai International Stadium,05 October 2020
1829,Varun Aaron,4.0,47,0,0.0,PBKS,Zayed Cricket Stadium,30 October 2020
1830,Deepak Chahar,4.0,47,0,0.0,KKR,Zayed Cricket Stadium,07 October 2020
1831,Kartik Tyagi,4.0,47,0,0.0,PBKS,Zayed Cricket Stadium,30 October 2020
1832,Jofra Archer,4.0,46,0,0.0,PBKS,Sharjah Cricket Stadium,27 September 2020
1833,T Natarajan,4.0,46,0,0.0,RR,Dubai International Stadium,22 October 2020
1834,Jaydev Unadkat,4.0,46,0,0.0,RCB,Dubai International Stadium,17 October 2020
1835,Marcus Stoinis,4.0,46,1,24.0,KKR,Sharjah Cricket Stadium,03 October 2020
1836,Jason Holder,4.0,46,1,24.0,DC,Dubai International Stadium,27 October 2020
1837,Basil Thampi,4.0,46,1,24.0,KKR,Zayed Cricket Stadium,18 October 2020
1838,Krishnappa Gowtham,4.0,45,1,24.0,MI,Zayed Cricket Stadium,01 October 2020
1839,Kartik Tyagi,4.0,45,1,24.0,MI,Zayed Cricket Stadium,25 October 2020
1840,Mohit Sharma,4.0,45,1,24.0,PBKS,Dubai International Stadium,20 September 2020
1841,Mohammad Shami,4.0,45,2,12.0,RCB,Sharjah Cricket Stadium,15 October 2020
1842,Khaleel Ahmed,4.0,45,2,12.0,CSK,Dubai International Stadium,13 October 2020
1843,Isuru Udana,4.0,45,2,12.0,MI,Dubai International Stadium,28 September 2020
1844,Ravichandran Ashwin,3.0,45,0,0.0,KKR,Zayed Cricket Stadium,24 October 2020
1845,Shreyas Gopal,4.0,44,0,0.0,PBKS,Sharjah Cricket Stadium,27 September 2020
1846,Jaydev Unadkat,4.0,44,0,0.0,CSK,Sharjah Cricket Stadium,22 September 2020
1847,Mujeeb Ur Rahman,4.0,44,0,0.0,KKR,Zayed Cricket Stadium,10 October 2020
1848,Daniel Sams,4.0,44,0,0.0,MI,Dubai International Stadium,05 November 2020
1849,Ravindra Jadeja,4.0,44,0,0.0,DC,Dubai International Stadium,25 September 2020
1850,Tom Curran,4.0,44,1,24.0,PBKS,Sharjah Cricket Stadium,27 September 2020
1851,Anrich Nortje,4.0,44,2,12.0,CSK,Sharjah Cricket Stadium,17 October 2020
1852,Chris Jordan,3.3,44,1,21.0,RR,Zayed Cricket Stadium,30 October 2020
1853,Mohammed Siraj,3.0,44,0,0.0,PBKS,Sharjah Cricket Stadium,15 October 2020
1854,Shreyas Gopal,3.0,44,1,18.0,KKR,Dubai International Stadium,01 November 2020
1855,Navdeep Saini,4.0,43,0,0.0,MI,Dubai International Stadium,28 September 2020
