,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1834,Rashid Khan,4.0,24,1,0,13,24.0,RCB,Sharjah Cricket Stadium,31 October 2020
1835,James Pattinson,4.0,25,2,0,13,12.0,KKR,Zayed Cricket Stadium,23 September 2020
1836,Bhuvneshwar Kumar,4.0,25,2,0,13,12.0,DC,Zayed Cricket Stadium,29 September 2020
1837,Jasprit Bumrah,4.0,25,2,0,13,12.0,CSK,Sharjah Cricket Stadium,23 October 2020
1838,Anrich Nortje,4.0,25,1,0,13,24.0,RR,Sharjah Cricket Stadium,09 October 2020
1839,Jofra Archer,4.0,26,2,0,13,12.0,PBKS,Zayed Cricket Stadium,30 October 2020
1840,Jofra Archer,4.0,26,1,0,13,24.0,CSK,Sharjah Cricket Stadium,22 September 2020
1841,Murugan Ashwin,4.0,27,1,0,13,24.0,KKR,Sharjah Cricket Stadium,26 October 2020
1842,Kagiso Rabada,4.0,28,2,0,13,12.0,MI,Zayed Cricket Stadium,11 October 2020
1843,Shardul Thakur,4.0,28,2,0,13,12.0,KKR,Zayed Cricket Stadium,07 October 2020
1844,Pat Cummins,4.0,28,1,0,13,24.0,SRH,Zayed Cricket Stadium,18 October 2020
1845,Trent Boult,4.0,30,2,1,13,12.0,KKR,Zayed Cricket Stadium,23 September 2020
1846,Pat Cummins,4.0,31,0,0,13,0.0,PBKS,Sharjah Cricket Stadium,26 October 2020
1847,Pat Cummins,4.0,34,4,0,13,6.0,RR,Dubai International Stadium,01 November 2020
1848,Mohammad Shami,4.0,35,3,0,13,8.0,KKR,Sharjah Cricket Stadium,26 October 2020
1849,Shreyas Gopal,4.0,14,1,0,12,24.0,CSK,Zayed Cricket Stadium,19 October 2020
1850,Chris Jordan,4.0,17,3,0,12,8.0,SRH,Dubai International Stadium,24 October 2020
1851,Pat Cummins,3.0,13,1,0,12,18.0,RR,Dubai International Stadium,30 September 2020
1852,Anrich Nortje,4.0,21,2,0,12,12.0,CSK,Dubai International Stadium,25 September 2020
1853,Jasprit Bumrah,4.0,22,1,0,12,24.0,KKR,Zayed Cricket Stadium,16 October 2020
1854,Chris Morris,4.0,22,0,0,12,0.0,PBKS,Sharjah Cricket Stadium,15 October 2020
1855,Sheldon Cottrell,3.0,17,2,0,12,9.0,RCB,Dubai International Stadium,24 September 2020
1856,Jasprit Bumrah,4.0,24,3,0,12,8.0,PBKS,Dubai International Stadium,18 October 2020
1857,Kamlesh Nagarkoti,4.0,24,1,0,12,24.0,RR,Dubai International Stadium,01 November 2020
1858,Chris Morris,4.0,26,4,0,12,6.0,RR,Dubai International Stadium,17 October 2020
1859,Trent Boult,4.0,26,2,0,12,12.0,RR,Zayed Cricket Stadium,06 October 2020
1860,Murugan Ashwin,4.0,27,1,0,12,24.0,SRH,Dubai International Stadium,24 October 2020
1861,Nathan Coulter-Nile,4.0,27,0,0,12,0.0,SRH,Sharjah Cricket Stadium,03 November 2020
1862,Trent Boult,3.2,23,1,0,12,20.0,CSK,Zayed Cricket Stadium,19 September 2020
1863,Mohammad Shami,4.0,28,2,0,12,12.0,DC,Dubai International Stadium,20 October 2020
1864,Kagiso Rabada,4.0,29,4,0,12,6.0,SRH,Zayed Cricket Stadium,08 November 2020
1865,Prasidh Krishna,4.0,29,3,0,12,8.0,PBKS,Zayed Cricket Stadium,10 October 2020
1866,Mohammad Shami,4.0,29,0,0,12,0.0,CSK,Zayed Cricket Stadium,01 November 2020
1867,Trent Boult,4.0,30,3,0,12,8.0,DC,Dubai International Stadium,10 November 2020
1868,Mohammad Shami,4.0,30,2,0,12,12.0,MI,Dubai International Stadium,18 October 2020
1869,Ravi Bishnoi,4.0,32,3,0,12,8.0,RCB,Dubai International Stadium,24 September 2020
1870,Kagiso Rabada,4.0,33,1,1,12,24.0,CSK,Sharjah Cricket Stadium,17 October 2020
1871,Ravi Bishnoi,4.0,34,0,0,12,0.0,RR,Sharjah Cricket Stadium,27 September 2020
1872,Varun Aaron,4.0,47,0,0,12,0.0,PBKS,Zayed Cricket Stadium,30 October 2020
1873,Axar Patel,4.0,14,1,0,11,24.0,PBKS,Dubai International Stadium,20 September 2020
1874,Axar Patel,4.0,16,0,0,11,0.0,MI,Dubai International Stadium,10 November 2020
1875,Yuzvendra Chahal,4.0,18,3,0,11,8.0,SRH,Dubai International Stadium,21 September 2020
1876,Rahul Tewatia,4.0,18,1,0,11,24.0,CSK,Zayed Cricket Stadium,19 October 2020
1877,Ravichandran Ashwin,4.0,18,0,0,11,0.0,MI,Dubai International Stadium,31 October 2020
1878,Shahbaz Nadeem,4.0,19,2,0,11,12.0,MI,Sharjah Cricket Stadium,03 November 2020
1879,Pat Cummins,4.0,19,1,0,11,24.0,SRH,Zayed Cricket Stadium,26 September 2020
1880,Ravi Bishnoi,4.0,20,2,1,11,12.0,KKR,Sharjah Cricket Stadium,26 October 2020
1881,Rahul Tewatia,4.0,20,1,0,11,24.0,DC,Sharjah Cricket Stadium,09 October 2020
1882,Jofra Archer,4.0,20,1,0,11,24.0,CSK,Zayed Cricket Stadium,19 October 2020
1883,Kagiso Rabada,4.0,21,2,0,11,12.0,SRH,Zayed Cricket Stadium,29 September 2020
1884,Piyush Chawla,4.0,21,1,0,11,24.0,MI,Zayed Cricket Stadium,19 September 2020
