,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
0,Sohail Tanvir,4.0,10,3,0,18,8.0,RCB,Sawai Mansingh Stadium,17 May 2008
1,Dale Steyn,4.0,28,2,0,18,12.0,CSK,Chidambaram,21 May 2008
2,Brett Lee,4.0,9,1,0,17,24.0,MI,IS Bindra Stadium,25 April 2008
3,Shaun Pollock,4.0,9,1,1,17,24.0,CSK,Wankhede Stadium,14 May 2008
4,Irfan Pathan,4.0,10,1,0,17,24.0,RR,IS Bindra Stadium,28 May 2008
5,Shaun Pollock,4.0,12,3,0,17,8.0,KKR,Wankhede Stadium,16 May 2008
6,Dale Steyn,4.0,14,1,0,17,24.0,MI,M. Chinnaswamy Stadium,28 May 2008
7,Shanthakumaran Sreesanth,4.0,16,2,0,17,12.0,RCB,M. Chinnaswamy Stadium,05 May 2008
8,Shane Watson,4.0,19,1,0,17,24.0,CSK,Sawai Mansingh Stadium,04 May 2008
9,Vinay Kumar,4.0,27,3,0,17,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008
10,Glenn McGrath,4.0,12,0,0,16,0.0,RR,Sawai Mansingh Stadium,11 May 2008
11,Sohail Tanvir,4.0,14,6,0,16,4.0,CSK,Sawai Mansingh Stadium,04 May 2008
12,Manpreet Gony,4.0,14,2,1,16,12.0,PBKS,Wankhede Stadium,31 May 2008
13,Glenn McGrath,4.0,15,2,0,16,12.0,RCB,M. Chinnaswamy Stadium,19 May 2008
14,Munaf Patel,4.0,17,3,0,16,8.0,DC,Wankhede Stadium,30 May 2008
15,Dilhara Fernando,4.0,18,4,0,16,6.0,RCB,M. Chinnaswamy Stadium,28 May 2008
16,Mohammad Asif,4.0,19,2,0,16,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008
17,Glenn McGrath,4.0,21,1,1,16,24.0,RR,Arun Jaitley Stadium,19 April 2008
18,Ashok Dinda,4.0,12,1,0,15,24.0,MI,Eden Gardens,29 April 2008
19,Sohail Tanvir,4.0,14,4,0,15,6.0,MI,Sawai Mansingh Stadium,26 May 2008
20,Shaun Pollock,4.0,16,2,0,15,12.0,DC,DY Patil Stadium,04 May 2008
21,Piyush Chawla,4.0,16,2,0,15,12.0,MI,IS Bindra Stadium,25 April 2008
22,Irfan Pathan,4.0,18,2,0,15,12.0,KKR,IS Bindra Stadium,03 May 2008
23,Irfan Pathan,4.0,19,2,1,15,12.0,MI,IS Bindra Stadium,25 April 2008
24,Shane Watson,4.0,20,2,0,15,12.0,RCB,M. Chinnaswamy Stadium,26 April 2008
25,Glenn McGrath,4.0,22,0,1,15,0.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008
26,Ajit Agarkar,4.0,25,3,0,15,8.0,RCB,M. Chinnaswamy Stadium,18 April 2008
27,Praveen Kumar,4.0,26,1,0,15,24.0,CSK,Chidambaram,21 May 2008
28,Mohammad Hafeez,4.0,8,1,0,14,24.0,DEC,Eden Gardens,20 April 2008
29,Ishant Sharma,4.0,9,2,0,14,12.0,RCB,M. Chinnaswamy Stadium,18 April 2008
30,Muttiah Muralitharan,4.0,12,0,0,14,0.0,KKR,Chidambaram,26 April 2008
31,Sanath Jayasuriya,4.0,14,3,1,14,8.0,KKR,Eden Gardens,29 April 2008
32,RP Singh,4.0,15,2,1,14,12.0,MI,DY Patil Stadium,27 April 2008
33,Irfan Pathan,3.2,13,1,0,14,20.0,RCB,M. Chinnaswamy Stadium,05 May 2008
34,Dale Steyn,4.0,16,0,0,14,0.0,PBKS,M. Chinnaswamy Stadium,05 May 2008
35,Manpreet Gony,4.0,18,1,1,14,24.0,MI,Chidambaram,23 April 2008
36,Murali Kartik,3.4,17,3,0,14,7.33,DEC,Eden Gardens,20 April 2008
37,Scott Styris,4.0,19,0,0,14,0.0,KKR,Eden Gardens,20 April 2008
38,Makhaya Ntini,4.0,21,4,0,14,6.0,KKR,Eden Gardens,18 May 2008
39,Munaf Patel,4.0,22,2,1,14,12.0,KKR,Eden Gardens,20 May 2008
40,Makhaya Ntini,4.0,23,2,0,14,12.0,PBKS,Wankhede Stadium,31 May 2008
41,Shane Warne,4.0,23,1,1,14,24.0,RCB,M. Chinnaswamy Stadium,26 April 2008
42,Zaheer Khan,4.0,24,1,0,14,24.0,RR,M. Chinnaswamy Stadium,26 April 2008
43,Manpreet Gony,4.0,11,2,1,13,12.0,RCB,Chidambaram,21 May 2008
44,Anil Kumble,4.0,14,3,0,13,8.0,CSK,Chidambaram,21 May 2008
45,Jacques Kallis,4.0,15,0,0,13,0.0,CSK,Chidambaram,21 May 2008
46,Sohail Tanvir,3.1,13,0,0,13,0.0,MI,DY Patil Stadium,07 May 2008
47,Zaheer Khan,4.0,17,2,0,13,12.0,MI,Wankhede Stadium,20 April 2008
48,Manpreet Gony,4.0,17,0,0,13,0.0,KKR,Eden Gardens,18 May 2008
49,Muttiah Muralitharan,4.0,20,1,0,13,24.0,RR,Sawai Mansingh Stadium,04 May 2008
50,Dale Steyn,4.0,20,0,0,13,0.0,DEC,M. Chinnaswamy Stadium,03 May 2008
51,Praveen Kumar,4.0,22,2,1,13,12.0,PBKS,M. Chinnaswamy Stadium,05 May 2008
52,MF Maharoof,4.0,22,1,0,13,24.0,RR,Sawai Mansingh Stadium,11 May 2008
53,Piyush Chawla,4.0,22,1,0,13,24.0,MI,Wankhede Stadium,21 May 2008
54,Umar Gul,4.0,23,4,0,13,6.0,PBKS,Eden Gardens,25 May 2008
55,Ajit Agarkar,4.0,23,1,0,13,24.0,MI,Eden Gardens,29 April 2008
56,Irfan Pathan,4.0,24,1,0,13,24.0,CSK,Wankhede Stadium,31 May 2008
57,RP Singh,4.0,24,1,0,13,24.0,RR,Sawai Mansingh Stadium,09 May 2008
58,Shanthakumaran Sreesanth,4.0,25,2,0,13,12.0,KKR,IS Bindra Stadium,03 May 2008
59,Sanjay Bangar,3.0,19,0,0,13,0.0,KKR,Eden Gardens,20 April 2008
60,Albie Morkel,4.0,26,1,0,13,24.0,DEC,Chidambaram,06 May 2008
61,Yo Mahesh,4.0,31,1,0,13,24.0,CSK,Chidambaram,02 May 2008
62,Sohail Tanvir,4.0,31,0,0,13,0.0,RCB,M. Chinnaswamy Stadium,26 April 2008
63,Shane Watson,4.0,32,1,0,13,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
64,Dhawal Kulkarni,4.0,33,3,0,13,8.0,CSK,Wankhede Stadium,14 May 2008
65,Ishant Sharma,3.4,33,1,0,13,22.0,MI,Eden Gardens,29 April 2008
66,Dominic Thornely,3.0,7,2,0,12,9.0,KKR,Wankhede Stadium,16 May 2008
67,Ishant Sharma,3.0,9,1,1,12,18.0,DEC,Eden Gardens,20 April 2008
68,Shane Watson,3.0,10,3,0,12,6.0,DC,Wankhede Stadium,30 May 2008
69,Shoaib Akhtar,3.0,11,4,0,12,4.5,DC,Eden Gardens,13 May 2008
70,Munaf Patel,4.0,16,2,0,12,12.0,CSK,Sawai Mansingh Stadium,04 May 2008
71,Rajat Bhatia,4.0,17,2,0,12,12.0,RR,Arun Jaitley Stadium,19 April 2008
72,Ashish Nehra,3.0,13,3,0,12,6.0,RR,DY Patil Stadium,07 May 2008
73,Dwayne Bravo,3.0,13,2,1,12,9.0,KKR,Wankhede Stadium,16 May 2008
74,Anil Kumble,4.0,18,2,0,12,12.0,DC,M. Chinnaswamy Stadium,19 May 2008
75,Dale Steyn,4.0,19,2,0,12,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008
76,Muttiah Muralitharan,4.0,19,1,0,12,24.0,PBKS,Wankhede Stadium,31 May 2008
77,Ramesh Powar,4.0,20,1,0,12,24.0,DEC,IS Bindra Stadium,23 May 2008
78,Munaf Patel,4.0,21,2,0,12,12.0,RCB,Sawai Mansingh Stadium,17 May 2008
79,Manpreet Gony,4.0,21,1,0,12,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008
80,Lakshmipathy Balaji,4.0,24,5,0,12,4.8,PBKS,Chidambaram,10 May 2008
81,Dwayne Bravo,4.0,24,3,0,12,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008
82,Makhaya Ntini,4.0,24,1,0,12,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008
83,Piyush Chawla,4.0,25,3,0,12,8.0,RCB,M. Chinnaswamy Stadium,05 May 2008
84,Siddharth Trivedi,4.0,25,2,0,12,12.0,PBKS,Sawai Mansingh Stadium,21 April 2008
85,Yo Mahesh,4.0,25,0,0,12,0.0,RCB,M. Chinnaswamy Stadium,19 May 2008
86,Sohail Tanvir,4.0,26,3,0,12,8.0,KKR,Eden Gardens,20 May 2008
87,Albie Morkel,4.0,27,2,0,12,12.0,PBKS,Wankhede Stadium,31 May 2008
88,Makhaya Ntini,4.0,27,0,0,12,0.0,RCB,Chidambaram,21 May 2008
89,Zaheer Khan,4.0,29,2,0,12,12.0,PBKS,M. Chinnaswamy Stadium,05 May 2008
90,Siddharth Trivedi,4.0,29,1,0,12,24.0,RCB,M. Chinnaswamy Stadium,26 April 2008
91,Piyush Chawla,4.0,29,0,0,12,0.0,DC,IS Bindra Stadium,27 April 2008
92,Shanthakumaran Sreesanth,4.0,31,2,0,12,12.0,MI,IS Bindra Stadium,25 April 2008
93,Piyush Chawla,4.0,31,0,0,12,0.0,DEC,IS Bindra Stadium,23 May 2008
94,RP Singh,4.0,32,0,0,12,0.0,CSK,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008
95,Ashok Dinda,4.0,33,3,0,12,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008
96,RP Singh,4.0,35,3,0,12,8.0,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008
97,Shanthakumaran Sreesanth,4.0,35,2,0,12,12.0,MI,Wankhede Stadium,21 May 2008
98,Brett Lee,4.0,35,1,0,12,24.0,CSK,IS Bindra Stadium,19 April 2008
99,Ashish Nehra,4.0,35,1,0,12,24.0,CSK,Chidambaram,23 April 2008
100,Brett Lee,4.0,35,1,0,12,24.0,RR,Sawai Mansingh Stadium,21 April 2008
101,Munaf Patel,4.0,36,1,0,12,24.0,PBKS,Sawai Mansingh Stadium,21 April 2008
102,Munaf Patel,4.0,37,0,0,12,0.0,PBKS,IS Bindra Stadium,28 May 2008
103,Glenn McGrath,4.0,38,0,0,12,0.0,RR,Wankhede Stadium,30 May 2008
104,Shane Watson,4.0,39,0,0,12,0.0,PBKS,Sawai Mansingh Stadium,21 April 2008
105,Chaminda Vaas,3.0,9,2,0,11,9.0,KKR,Eden Gardens,20 April 2008
106,MF Maharoof,4.0,13,2,0,11,12.0,RCB,M. Chinnaswamy Stadium,19 May 2008
107,Amit Mishra,4.0,17,5,0,11,4.8,DEC,Arun Jaitley Stadium,15 May 2008
108,Pragyan Ojha,4.0,18,2,0,11,12.0,KKR,Eden Gardens,20 April 2008
109,Shane Warne,4.0,19,3,0,11,8.0,PBKS,Sawai Mansingh Stadium,21 April 2008
110,Muttiah Muralitharan,4.0,19,1,0,11,24.0,RCB,Chidambaram,21 May 2008
111,Shane Warne,4.0,21,2,0,11,12.0,DC,Wankhede Stadium,30 May 2008
112,Shane Watson,4.0,21,2,0,11,12.0,DC,Sawai Mansingh Stadium,11 May 2008
113,Sourav Ganguly,4.0,21,2,0,11,12.0,RCB,M. Chinnaswamy Stadium,18 April 2008
114,Irfan Pathan,4.0,21,1,0,11,24.0,RR,Sawai Mansingh Stadium,21 April 2008
115,Glenn McGrath,4.0,21,1,0,11,24.0,CSK,Chidambaram,02 May 2008
116,Makhaya Ntini,4.0,21,0,1,11,0.0,RR,DY Patil Stadium,01 June 2008
117,Paidikalva Vijaykumar,3.0,17,1,0,11,18.0,CSK,Chidambaram,06 May 2008
118,Ashish Nehra,3.0,17,0,0,11,0.0,KKR,Wankhede Stadium,16 May 2008
119,Praveen Kumar,4.0,23,3,0,11,8.0,DEC,M. Chinnaswamy Stadium,03 May 2008
120,Muttiah Muralitharan,4.0,24,1,0,11,24.0,DEC,Chidambaram,06 May 2008
121,Paidikalva Vijaykumar,4.0,24,1,0,11,24.0,DC,Arun Jaitley Stadium,15 May 2008
122,Dwayne Bravo,4.0,25,1,0,11,24.0,KKR,Eden Gardens,29 April 2008
123,Dwayne Smith,4.0,26,3,0,11,8.0,RCB,M. Chinnaswamy Stadium,28 May 2008
124,Ishant Sharma,4.0,26,1,0,11,24.0,RR,Sawai Mansingh Stadium,01 May 2008
125,Shaun Pollock,4.0,27,2,0,11,12.0,KKR,Eden Gardens,29 April 2008
126,Dilhara Fernando,4.0,27,2,0,11,12.0,RR,Sawai Mansingh Stadium,26 May 2008
127,MF Maharoof,4.0,27,1,0,11,24.0,MI,Arun Jaitley Stadium,24 May 2008
128,Vikram Singh,4.0,28,2,0,11,12.0,KKR,Eden Gardens,25 May 2008
129,Pradeep Sangwan,4.0,29,1,0,11,24.0,KKR,Eden Gardens,13 May 2008
130,Praveen Kumar,4.0,29,1,0,11,24.0,MI,Wankhede Stadium,20 April 2008
131,Nuwan Zoysa,4.0,30,1,0,11,24.0,MI,DY Patil Stadium,27 April 2008
132,Ashok Dinda,4.0,30,0,0,11,0.0,RR,Sawai Mansingh Stadium,01 May 2008
133,Ashish Nehra,4.0,31,0,0,11,0.0,CSK,Wankhede Stadium,14 May 2008
134,Ashok Dinda,3.0,24,1,0,11,18.0,PBKS,IS Bindra Stadium,03 May 2008
135,Sohail Tanvir,4.0,33,3,0,11,8.0,CSK,Chidambaram,24 May 2008
136,Ashok Dinda,3.0,25,0,0,11,0.0,CSK,Chidambaram,26 April 2008
137,Umar Gul,3.3,30,2,1,11,10.5,RR,Eden Gardens,20 May 2008
138,Yo Mahesh,4.0,36,4,0,11,6.0,MI,Arun Jaitley Stadium,24 May 2008
139,Irfan Pathan,4.0,37,0,0,11,0.0,MI,Wankhede Stadium,21 May 2008
140,Zaheer Khan,4.0,38,3,0,11,8.0,CSK,M. Chinnaswamy Stadium,28 April 2008
141,Manpreet Gony,4.0,38,1,0,11,24.0,PBKS,Chidambaram,10 May 2008
142,Dale Steyn,4.0,40,0,0,11,0.0,CSK,M. Chinnaswamy Stadium,28 April 2008
143,Sourav Ganguly,3.0,7,1,0,10,18.0,RCB,Eden Gardens,08 May 2008
144,Siddharth Trivedi,3.0,8,1,0,10,18.0,DEC,Sawai Mansingh Stadium,09 May 2008
145,MF Maharoof,4.0,11,2,0,10,12.0,RR,Arun Jaitley Stadium,19 April 2008
146,Yusuf Pathan,3.0,9,0,0,10,0.0,MI,Sawai Mansingh Stadium,26 May 2008
147,Vikram Singh,4.0,15,1,0,10,24.0,RCB,IS Bindra Stadium,12 May 2008
148,RP Singh,3.0,12,2,0,10,9.0,CSK,Chidambaram,06 May 2008
149,Shaun Pollock,4.0,17,0,0,10,0.0,RCB,Wankhede Stadium,20 April 2008
150,Munaf Patel,4.0,14,2,0,19,12.0,KKR,Kingsmead,20 May 2009
151,Ashok Dinda,4.0,12,0,0,17,0.0,RR,Kingsmead,20 May 2009
152,Brett Lee,4.0,15,3,1,17,8.0,DC,OUTsurance Oval,15 May 2009
153,Muttiah Muralitharan,4.0,8,2,0,16,12.0,PBKS,Kingsmead,20 May 2009
154,Muttiah Muralitharan,4.0,11,3,1,16,8.0,RCB,St George's Park,20 April 2009
155,Albie Morkel,4.0,13,2,0,16,12.0,RCB,Kingsmead,14 May 2009
156,Charl Langeveldt,4.0,15,3,0,16,8.0,RR,Kingsmead,20 May 2009
157,Lasith Malinga,4.0,19,3,1,16,8.0,DEC,Kingsmead,25 April 2009
158,Ishant Sharma,4.0,29,1,0,16,24.0,KKR,St George's Park,27 April 2009
159,Ishant Sharma,4.0,29,1,0,16,24.0,MI,St George's Park,27 April 2009
160,Amit Singh,4.0,9,3,0,15,8.0,PBKS,Kingsmead,05 May 2009
161,Harbhajan Singh,4.0,9,1,0,15,24.0,PBKS,Supersport Park,12 May 2009
162,Praveen Kumar,3.0,7,2,0,15,9.0,RR,Newlands,18 April 2009
163,Yuvraj Singh,4.0,13,3,0,15,8.0,DEC,New Wanderers Stadium,17 May 2009
164,Amit Mishra,4.0,14,3,0,15,8.0,KKR,New Wanderers Stadium,10 May 2009
165,Ajit Agarkar,4.0,15,2,0,15,12.0,RR,Kingsmead,20 May 2009
166,Muttiah Muralitharan,4.0,16,1,0,15,24.0,KKR,Supersport Park,18 May 2009
167,RP Singh,4.0,18,2,1,15,12.0,RR,St George's Park,02 May 2009
168,Yusuf Abdulla,4.0,19,2,0,15,12.0,MI,Kingsmead,29 April 2009
169,Yusuf Pathan,4.0,19,1,0,15,24.0,DEC,St George's Park,02 May 2009
170,Dimitri Mascarenhas,4.0,20,3,0,15,8.0,RCB,Newlands,18 April 2009
171,Brett Lee,4.0,25,1,0,15,24.0,MI,Supersport Park,12 May 2009
172,Shane Harwood,4.0,26,1,0,15,24.0,PBKS,Kingsmead,05 May 2009
173,Ryan Harris,4.0,27,3,1,15,8.0,DC,Supersport Park,22 May 2009
174,Anil Kumble,4.0,12,2,0,14,12.0,CSK,Kingsmead,14 May 2009
175,Murali Kartik,4.0,12,1,0,14,24.0,DEC,New Wanderers Stadium,16 May 2009
176,Munaf Patel,4.0,14,2,1,14,12.0,DC,Supersport Park,28 April 2009
177,Jesse Ryder,4.0,14,2,0,14,12.0,RR,Newlands,18 April 2009
178,Ishant Sharma,4.0,15,2,0,14,12.0,RCB,Kingsmead,29 April 2009
179,Kamran Khan,4.0,15,2,0,14,12.0,PBKS,Newlands,26 April 2009
180,Ishant Sharma,4.0,15,2,0,14,12.0,RCB,Kingsmead,29 April 2009
181,Brett Lee,4.0,16,0,0,14,0.0,CSK,Kingsmead,20 May 2009
182,Shane Warne,4.0,18,2,0,14,12.0,RCB,Newlands,18 April 2009
183,Amit Mishra,4.0,18,0,1,14,0.0,KKR,Kingsmead,05 May 2009
184,Amit Singh,4.0,19,4,0,14,6.0,RCB,Supersport Park,07 May 2009
185,Irfan Pathan,4.0,19,2,0,14,12.0,RCB,Kingsmead,01 May 2009
186,Chaminda Vaas,4.0,19,2,0,14,12.0,RR,De Beers Diamond Oval,11 May 2009
187,Shanthakumaran Sreesanth,4.0,20,2,0,14,12.0,DC,OUTsurance Oval,15 May 2009
188,Shoaib Ahmed,4.0,20,2,0,14,12.0,DC,Supersport Park,30 April 2009
189,Yusuf Abdulla,4.0,21,3,0,14,8.0,RR,Newlands,26 April 2009
190,RP Singh,4.0,22,1,0,14,24.0,RR,De Beers Diamond Oval,11 May 2009
191,RP Singh,3.4,22,4,0,14,5.5,KKR,Newlands,19 April 2009
192,Muttiah Muralitharan,4.0,24,1,0,14,24.0,RCB,Kingsmead,14 May 2009
193,RP Singh,4.0,27,2,0,14,12.0,MI,Kingsmead,25 April 2009
194,Shane Warne,4.0,27,1,0,14,24.0,CSK,De Beers Diamond Oval,09 May 2009
195,Dimitri Mascarenhas,4.0,29,1,1,14,24.0,KKR,Newlands,23 April 2009
196,Lasith Malinga,4.0,32,1,0,14,24.0,PBKS,Supersport Park,12 May 2009
197,Anureet Singh,4.0,35,2,0,14,12.0,RR,Newlands,23 April 2009
198,Anil Kumble,3.1,5,5,1,13,3.8,RR,Newlands,18 April 2009
199,Pragyan Ojha,4.0,14,2,0,13,12.0,KKR,Newlands,19 April 2009
200,Lasith Malinga,4.0,15,3,0,13,8.0,CSK,Newlands,18 April 2009
201,JP Duminy,4.0,15,2,0,13,12.0,PBKS,Supersport Park,12 May 2009
202,Muttiah Muralitharan,4.0,15,1,0,13,24.0,RCB,New Wanderers Stadium,23 May 2009
203,RP Singh,4.0,17,2,0,13,12.0,RCB,Newlands,22 April 2009
204,Ishant Sharma,3.0,13,0,0,13,0.0,DEC,Newlands,19 April 2009
205,Ishant Sharma,3.0,13,0,0,13,0.0,DEC,Newlands,19 April 2009
206,Amit Mishra,4.0,19,3,0,13,8.0,DEC,Supersport Park,22 May 2009
207,Johan Botha,4.0,19,2,0,13,12.0,KKR,Kingsmead,20 May 2009
208,RP Singh,4.0,19,2,0,13,12.0,MI,Supersport Park,06 May 2009
209,Lasith Malinga,4.0,19,1,0,13,24.0,CSK,St George's Park,16 May 2009
210,Siddharth Trivedi,4.0,20,1,0,13,24.0,PBKS,Kingsmead,05 May 2009
211,Laxmi Ratan Shukla,4.0,20,0,0,13,0.0,RR,Kingsmead,20 May 2009
212,Dhawal Kulkarni,4.0,21,1,0,13,24.0,DEC,Supersport Park,06 May 2009
213,Yuvraj Singh,4.0,22,3,0,13,8.0,RCB,Kingsmead,01 May 2009
214,Munaf Patel,3.5,22,2,0,13,11.5,MI,Kingsmead,14 May 2009
215,Shanthakumaran Sreesanth,4.0,23,2,0,13,12.0,CSK,Kingsmead,20 May 2009
216,Munaf Patel,4.0,24,2,0,13,12.0,PBKS,Newlands,26 April 2009
217,Ishant Sharma,4.0,24,1,0,13,24.0,PBKS,Kingsmead,21 April 2009
218,Brett Lee,4.0,24,1,0,13,24.0,DEC,De Beers Diamond Oval,09 May 2009
219,Ishant Sharma,4.0,24,1,0,13,24.0,PBKS,Kingsmead,21 April 2009
220,Shane Harwood,4.0,25,2,0,13,12.0,DEC,St George's Park,02 May 2009
221,Praveen Kumar,4.0,27,2,0,13,12.0,PBKS,Kingsmead,01 May 2009
222,Dwayne Bravo,4.0,27,1,0,13,24.0,CSK,Newlands,18 April 2009
223,Ashok Dinda,4.0,29,1,0,13,24.0,CSK,Supersport Park,18 May 2009
224,Praveen Kumar,4.0,31,0,0,13,0.0,RR,Supersport Park,07 May 2009
225,Ryan Harris,4.0,34,1,1,13,24.0,RCB,New Wanderers Stadium,24 May 2009
226,Lasith Malinga,4.0,12,2,0,12,12.0,PBKS,Kingsmead,29 April 2009
227,Anil Kumble,4.0,16,4,0,12,6.0,DEC,New Wanderers Stadium,24 May 2009
228,Anil Kumble,4.0,16,2,0,12,12.0,KKR,Kingsmead,29 April 2009
229,Harbhajan Singh,4.0,17,4,0,12,6.0,DC,Supersport Park,21 May 2009
230,Jacques Kallis,4.0,18,2,1,12,12.0,CSK,Kingsmead,14 May 2009
231,Lakshmipathy Balaji,4.0,19,3,0,12,8.0,DC,Kingsmead,23 April 2009
232,Muttiah Muralitharan,4.0,19,0,0,12,0.0,MI,St George's Park,16 May 2009
233,Ryan Harris,4.0,20,2,0,12,12.0,KKR,New Wanderers Stadium,16 May 2009
234,Jacques Kallis,4.0,20,1,0,12,24.0,RR,Supersport Park,07 May 2009
235,Morne Morkel,4.0,20,0,0,12,0.0,RCB,Supersport Park,07 May 2009
236,Amit Mishra,4.0,20,0,0,12,0.0,MI,Buffalo Park,08 May 2009
237,Muttiah Muralitharan,4.0,22,2,0,12,12.0,RR,De Beers Diamond Oval,09 May 2009
238,Harmeet Singh Bansal,4.0,23,2,0,12,12.0,RCB,New Wanderers Stadium,24 May 2009
239,Anil Kumble,4.0,23,2,0,12,12.0,DEC,Supersport Park,21 May 2009
240,Ishant Sharma,4.0,23,0,0,12,0.0,DEC,New Wanderers Stadium,16 May 2009
241,Ishant Sharma,4.0,23,0,0,12,0.0,DEC,New Wanderers Stadium,16 May 2009
242,Shadab Jakati,4.0,24,4,0,12,6.0,DC,New Wanderers Stadium,02 May 2009
243,Dwayne Bravo,3.1,19,1,0,12,19.0,CSK,St George's Park,16 May 2009
244,Lasith Malinga,4.0,24,1,0,12,24.0,DEC,Supersport Park,06 May 2009
245,Harbhajan Singh,4.0,24,0,0,12,0.0,KKR,Buffalo Park,01 May 2009
246,Jacques Kallis,4.0,24,0,0,12,0.0,DEC,New Wanderers Stadium,24 May 2009
247,Jesse Ryder,4.0,24,0,0,12,0.0,PBKS,Kingsmead,01 May 2009
248,Anil Kumble,4.0,25,2,0,12,12.0,PBKS,Kingsmead,01 May 2009
249,Dwayne Bravo,4.0,27,1,0,12,24.0,RCB,St George's Park,10 May 2009
250,Yusuf Pathan,4.0,27,0,0,12,0.0,KKR,Newlands,23 April 2009
251,Piyush Chawla,4.0,30,2,0,12,12.0,RR,Kingsmead,05 May 2009
252,Ryan Harris,4.0,31,0,0,12,0.0,PBKS,New Wanderers Stadium,17 May 2009
253,Dillon du Preez,4.0,32,3,1,12,8.0,MI,New Wanderers Stadium,03 May 2009
254,Scott Styris,4.0,32,2,0,12,12.0,KKR,Newlands,19 April 2009
255,Yusuf Abdulla,4.0,36,4,1,12,6.0,RCB,Kingsmead,01 May 2009
256,Ravichandran Ashwin,4.0,13,2,0,11,12.0,PBKS,Kingsmead,20 May 2009
257,Tirumalasetti Suman,4.0,14,2,0,11,12.0,MI,Supersport Park,06 May 2009
258,Muttiah Muralitharan,3.0,11,2,0,11,9.0,DEC,Buffalo Park,04 May 2009
259,JP Duminy,4.0,15,1,0,11,24.0,DC,Buffalo Park,08 May 2009
260,RP Singh,4.0,16,1,0,11,24.0,RCB,New Wanderers Stadium,24 May 2009
261,Suresh Raina,4.0,17,2,0,11,12.0,PBKS,Kingsmead,20 May 2009
262,Muttiah Muralitharan,4.0,17,1,0,11,24.0,DEC,Kingsmead,27 April 2009
263,Jacques Kallis,4.0,17,1,0,11,24.0,DC,New Wanderers Stadium,19 May 2009
264,Piyush Chawla,4.0,19,1,0,11,24.0,RCB,Kingsmead,24 April 2009
265,Piyush Chawla,4.0,20,0,0,11,0.0,DEC,New Wanderers Stadium,17 May 2009
266,Amit Singh,3.3,19,1,0,11,21.0,KKR,Kingsmead,20 May 2009
267,Ishant Sharma,4.0,23,2,0,11,12.0,KKR,New Wanderers Stadium,10 May 2009
268,Ishant Sharma,4.0,23,2,0,11,12.0,DC,New Wanderers Stadium,10 May 2009
269,Ramesh Powar,4.0,23,1,0,11,24.0,MI,Kingsmead,29 April 2009
270,Jacques Kallis,4.0,23,0,0,11,0.0,MI,New Wanderers Stadium,03 May 2009
271,Sudeep Tyagi,3.0,18,2,0,11,9.0,DC,New Wanderers Stadium,02 May 2009
272,Dhawal Kulkarni,4.0,24,1,0,11,24.0,RCB,St George's Park,10 May 2009
273,Laxmi Ratan Shukla,4.0,25,3,0,11,8.0,MI,St George's Park,27 April 2009
274,Ryan Harris,4.0,25,0,0,11,0.0,MI,Supersport Park,06 May 2009
275,Ajit Agarkar,3.0,19,0,0,11,0.0,DC,New Wanderers Stadium,10 May 2009
276,Irfan Pathan,4.0,26,2,0,11,12.0,RR,Newlands,26 April 2009
277,Wilkin Mota,4.0,26,1,0,11,24.0,DEC,De Beers Diamond Oval,09 May 2009
278,Jacques Kallis,4.0,26,1,0,11,24.0,CSK,New Wanderers Stadium,23 May 2009
279,Abhishek Nayar,4.0,26,0,0,11,0.0,RCB,New Wanderers Stadium,03 May 2009
280,RP Singh,3.0,20,1,0,11,18.0,DC,Supersport Park,30 April 2009
281,Piyush Chawla,4.0,27,2,0,11,12.0,KKR,St George's Park,03 May 2009
282,Thilan Thushara,4.0,28,2,0,11,12.0,PBKS,Kingsmead,20 May 2009
283,Dimitri Mascarenhas,4.0,28,2,0,11,12.0,DC,Supersport Park,28 April 2009
284,Andrew Symonds,4.0,28,1,0,11,24.0,KKR,New Wanderers Stadium,16 May 2009
285,Lasith Malinga,4.0,28,1,0,11,24.0,RR,Kingsmead,14 May 2009
286,Dhawal Kulkarni,4.0,29,0,0,11,0.0,RR,Kingsmead,14 May 2009
287,Lasith Malinga,4.0,30,1,0,11,24.0,DC,Buffalo Park,08 May 2009
288,Yusuf Abdulla,4.0,31,4,0,11,6.0,RCB,Kingsmead,24 April 2009
289,Albie Morkel,4.0,31,1,0,11,24.0,MI,St George's Park,16 May 2009
290,Brett Lee,4.0,31,0,0,11,0.0,DEC,New Wanderers Stadium,17 May 2009
