,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1439,Hardik Pandya,29,11,263.63,3,2,KKR,Wankhede Stadium,09 April 2017
1440,Ravindra Jadeja,18,7,257.14,0,2,DC,Arun Jaitley Stadium,04 May 2017
1441,Manoj Tiwary,27,11,245.45,3,2,RCB,M. Chinnaswamy Stadium,16 April 2017
1442,Kedar Jadhav,38,16,237.5,5,2,GL,Saurashtra Cricket Association Stadium,18 April 2017
1443,Deepak Chahar,14,6,233.33,0,2,DC,Maharashtra Cricket Association's International Stadium,11 April 2017
1444,Axar Patel,38,17,223.52,3,2,RCB,M. Chinnaswamy Stadium,05 May 2017
1445,MS Dhoni,23,11,209.09,1,2,KKR,Maharashtra Cricket Association's International Stadium,26 April 2017
1446,Andrew Tye,25,12,208.33,2,2,MI,Saurashtra Cricket Association Stadium,29 April 2017
1447,Aaron Finch,31,15,206.66,4,2,KKR,Eden Gardens,21 April 2017
1448,Parthiv Patel,37,18,205.55,4,2,PBKS,Holkar Cricket Stadium,20 April 2017
1449,Kane Williamson,54,27,200.0,4,2,PBKS,IS Bindra Stadium,28 April 2017
1450,Axar Patel,34,17,200.0,3,2,GL,Saurashtra Cricket Association Stadium,23 April 2017
1451,Moises Henriques,55,28,196.42,6,2,RPS,Maharashtra Cricket Association's International Stadium,22 April 2017
1452,Karun Nair,39,20,195.0,5,2,SRH,Arun Jaitley Stadium,02 May 2017
1453,Rahul Tripathi,33,17,194.11,3,2,GL,Saurashtra Cricket Association Stadium,14 April 2017
1454,Colin de Grandhomme,36,19,189.47,3,2,RPS,Eden Gardens,03 May 2017
1455,Dinesh Karthik,47,25,188.0,6,2,KKR,Saurashtra Cricket Association Stadium,07 April 2017
1456,Suryakumar Yadav,30,16,187.5,2,2,RPS,Eden Gardens,03 May 2017
1457,Aaron Finch,15,8,187.5,0,2,KKR,Saurashtra Cricket Association Stadium,07 April 2017
1458,Chris Lynn,26,14,185.71,3,2,MI,Eden Gardens,13 May 2017
1459,Dinesh Karthik,48,26,184.61,2,2,MI,Wankhede Stadium,16 April 2017
1460,Glenn Maxwell,20,11,181.81,0,2,GL,IS Bindra Stadium,07 May 2017
1461,Shreyas Iyer,14,8,175.0,0,2,GL,Arun Jaitley Stadium,04 May 2017
