,Player,Runs,BF,4s,6s,Against,Venue,Match Date
886,Hashim Amla,58,32,4,3,RCB,Holkar Cricket Stadium,10 April 2017
887,Nitish Rana,53,32,4,2,GL,Wankhede Stadium,16 April 2017
888,Shreyas Iyer,96,33,15,2,GL,Green Park,10 May 2017
889,Kane Williamson,89,33,6,5,DC,Rajiv Gandhi Intl. Cricket Stadium,19 April 2017
890,Gautam Gambhir,76,33,12,0,GL,Saurashtra Cricket Association Stadium,07 April 2017
891,Rohit Sharma,58,33,6,3,RPS,Wankhede Stadium,24 April 2017
892,Rishabh Pant,57,33,3,4,RCB,M. Chinnaswamy Stadium,08 April 2017
893,Hashim Amla,104,34,8,6,MI,Holkar Cricket Stadium,20 April 2017
894,AB de Villiers,89,34,3,9,PBKS,Holkar Cricket Stadium,10 April 2017
895,Gautam Gambhir,72,34,11,0,PBKS,Eden Gardens,13 April 2017
896,Yuvraj Singh,70,34,11,1,DC,Arun Jaitley Stadium,02 May 2017
897,Rohit Sharma,67,34,6,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,08 May 2017
898,Yusuf Pathan,59,34,6,2,DC,Arun Jaitley Stadium,17 April 2017
899,Rohit Sharma,56,34,6,1,RCB,Wankhede Stadium,01 May 2017
900,Moises Henriques,52,34,3,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,05 April 2017
901,Hashim Amla,104,35,8,5,GL,IS Bindra Stadium,07 May 2017
902,Manan Vohra,95,35,9,5,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 April 2017
903,Robin Uthappa,72,35,8,2,GL,Eden Gardens,21 April 2017
904,Vijay Shankar,63,35,9,0,GL,Green Park,13 May 2017
905,Gautam Gambhir,62,35,6,1,RPS,Maharashtra Cricket Association's International Stadium,26 April 2017
906,Dinesh Karthik,58,35,6,0,PBKS,Saurashtra Cricket Association Stadium,23 April 2017
907,Steve Smith,51,35,4,1,KKR,Maharashtra Cricket Association's International Stadium,26 April 2017
908,Shaun Marsh,84,36,14,2,SRH,IS Bindra Stadium,28 April 2017
909,Brendon McCullum,64,36,6,3,MI,Wankhede Stadium,16 April 2017
910,Shikhar Dhawan,62,36,4,2,MI,Rajiv Gandhi Intl. Cricket Stadium,08 May 2017
911,Sam Billings,55,36,9,0,PBKS,Arun Jaitley Stadium,15 April 2017
912,Steve Smith,84,37,7,3,MI,Maharashtra Cricket Association's International Stadium,06 April 2017
913,Manish Pandey,81,37,5,5,MI,Wankhede Stadium,09 April 2017
914,Manish Pandey,69,37,4,3,DC,Arun Jaitley Stadium,17 April 2017
915,Lendl Simmons,66,37,5,4,DC,Arun Jaitley Stadium,06 May 2017
916,Karun Nair,64,37,9,0,RPS,Arun Jaitley Stadium,12 May 2017
917,Shaun Marsh,58,37,6,0,GL,IS Bindra Stadium,07 May 2017
918,Parthiv Patel,52,37,3,3,RPS,Wankhede Stadium,16 May 2017
919,Ben Stokes,103,38,7,6,GL,Maharashtra Cricket Association's International Stadium,01 May 2017
920,Moises Henriques,52,38,6,0,GL,Rajiv Gandhi Intl. Cricket Stadium,09 April 2017
921,Gautam Gambhir,71,39,11,0,DC,Eden Gardens,28 April 2017
922,Virat Kohli,62,39,5,2,MI,M. Chinnaswamy Stadium,14 April 2017
923,Virat Kohli,58,39,3,3,DC,Arun Jaitley Stadium,14 May 2017
924,Ajinkya Rahane,56,39,5,1,MI,Wankhede Stadium,16 May 2017
925,Shikhar Dhawan,70,40,7,1,DC,Rajiv Gandhi Intl. Cricket Stadium,19 April 2017
926,Manoj Tiwary,60,40,5,3,DC,Arun Jaitley Stadium,12 May 2017
927,Chris Morris,52,40,5,1,MI,Wankhede Stadium,22 April 2017
928,Sanju Samson,102,41,8,5,RPS,Maharashtra Cricket Association's International Stadium,11 April 2017
929,Travis Head,75,41,3,5,KKR,M. Chinnaswamy Stadium,07 May 2017
930,Kieron Pollard,70,41,3,5,RCB,M. Chinnaswamy Stadium,14 April 2017
931,David Warner,69,41,9,0,GL,Green Park,13 May 2017
932,Suresh Raina,68,41,7,0,KKR,Saurashtra Cricket Association Stadium,07 April 2017
933,Mandeep Singh,52,41,4,1,KKR,M. Chinnaswamy Stadium,07 May 2017
934,Virat Kohli,55,42,4,1,RPS,Maharashtra Cricket Association's International Stadium,29 April 2017
935,Saurabh Tiwary,52,42,9,0,KKR,Eden Gardens,13 May 2017
936,Virat Kohli,64,43,7,1,GL,Saurashtra Cricket Association Stadium,18 April 2017
937,David Warner,70,45,7,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,17 April 2017
938,Manoj Tiwary,58,45,4,2,MI,Wankhede Stadium,16 May 2017
939,Steve Smith,51,49,2,2,MI,Rajiv Gandhi Intl. Cricket Stadium,21 May 2017
940,KL Rahul,51,14,6,4,DC,IS Bindra Stadium,08 April 2018
941,Ishan Kishan,62,17,5,6,KKR,Eden Gardens,09 May 2018
942,Sunil Narine,50,17,4,5,RCB,Eden Gardens,08 April 2018
943,Jos Buttler,67,18,4,7,DC,Arun Jaitley Stadium,02 May 2018
944,Sam Billings,56,21,2,5,KKR,Chidambaram,10 April 2018
945,KL Rahul,66,22,2,7,KKR,Holkar Cricket Stadium,12 May 2018
946,Chris Gayle,63,22,7,4,CSK,IS Bindra Stadium,15 April 2018
947,MS Dhoni,51,22,2,5,DC,Maharashtra Cricket Association's International Stadium,30 April 2018
948,Kieron Pollard,50,22,5,3,PBKS,Wankhede Stadium,16 May 2018
949,Dinesh Karthik,50,22,5,3,PBKS,Holkar Cricket Stadium,12 May 2018
950,Rishabh Pant,69,23,7,5,RR,Arun Jaitley Stadium,02 May 2018
951,AB de Villiers,68,23,2,8,CSK,M. Chinnaswamy Stadium,25 April 2018
952,AB de Villiers,90,24,10,5,DC,M. Chinnaswamy Stadium,21 April 2018
953,KL Rahul,60,24,9,2,KKR,Eden Gardens,21 April 2018
954,Shane Watson,78,25,4,7,DC,Maharashtra Cricket Association's International Stadium,30 April 2018
955,Dwayne Bravo,68,25,3,7,MI,Wankhede Stadium,07 April 2018
956,Moeen Ali,65,25,2,6,SRH,M. Chinnaswamy Stadium,17 May 2018
957,Prithvi Shaw,65,25,6,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,05 May 2018
958,Karun Nair,54,25,3,5,CSK,Maharashtra Cricket Association's International Stadium,20 May 2018
959,Jos Buttler,95,26,11,2,CSK,Sawai Mansingh Stadium,11 May 2018
960,Andre Russell,88,26,1,11,CSK,Chidambaram,10 April 2018
961,Sunil Narine,75,26,9,4,PBKS,Holkar Cricket Stadium,12 May 2018
962,Virat Kohli,70,26,7,3,DC,Arun Jaitley Stadium,12 May 2018
963,Virat Kohli,57,26,7,2,RR,M. Chinnaswamy Stadium,15 April 2018
964,Jason Roy,91,27,6,6,MI,Wankhede Stadium,14 April 2018
965,Jos Buttler,82,27,9,1,PBKS,Sawai Mansingh Stadium,08 May 2018
966,Ambati Rayudu,79,27,9,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,22 April 2018
967,Rishabh Pant,61,27,5,4,RCB,Arun Jaitley Stadium,12 May 2018
968,Shane Watson,106,28,9,6,RR,Maharashtra Cricket Association's International Stadium,20 April 2018
969,Kane Williamson,81,28,7,5,RCB,M. Chinnaswamy Stadium,17 May 2018
970,AB de Villiers,72,28,4,6,DC,Arun Jaitley Stadium,12 May 2018
971,Chris Gayle,62,28,5,6,KKR,Eden Gardens,21 April 2018
972,Vijay Shankar,54,28,1,5,CSK,Maharashtra Cricket Association's International Stadium,30 April 2018
973,Ambati Rayudu,50,28,4,4,DC,Arun Jaitley Stadium,18 May 2018
974,Shreyas Iyer,93,29,3,10,KKR,Arun Jaitley Stadium,27 April 2018
975,Suryakumar Yadav,72,29,6,3,RR,Sawai Mansingh Stadium,22 April 2018
976,MS Dhoni,70,29,1,7,RCB,M. Chinnaswamy Stadium,25 April 2018
977,Suryakumar Yadav,53,29,7,1,DC,Wankhede Stadium,14 April 2018
978,Shreyas Iyer,52,29,4,3,RCB,M. Chinnaswamy Stadium,21 April 2018
979,Shikhar Dhawan,92,30,9,4,DC,Arun Jaitley Stadium,10 May 2018
980,Chris Lynn,74,30,6,4,PBKS,Eden Gardens,21 April 2018
981,Manish Pandey,62,30,7,2,RCB,M. Chinnaswamy Stadium,17 May 2018
982,Nitish Rana,59,30,5,4,DC,Eden Gardens,16 April 2018
983,Ambati Rayudu,100,31,7,7,SRH,Maharashtra Cricket Association's International Stadium,13 May 2018
984,Suryakumar Yadav,59,31,7,2,KKR,Wankhede Stadium,06 May 2018
985,Shane Watson,57,31,5,3,SRH,Maharashtra Cricket Association's International Stadium,13 May 2018
986,Rohit Sharma,56,31,6,2,CSK,Maharashtra Cricket Association's International Stadium,28 April 2018
987,AB de Villiers,53,31,7,0,RR,Sawai Mansingh Stadium,19 May 2018
988,Karun Nair,50,31,5,2,DC,IS Bindra Stadium,08 April 2018
989,Rohit Sharma,94,32,10,5,RCB,Wankhede Stadium,17 April 2018
990,AB de Villiers,69,32,12,1,SRH,M. Chinnaswamy Stadium,17 May 2018
991,Evin Lewis,65,32,6,5,RCB,Wankhede Stadium,17 April 2018
992,Kane Williamson,63,32,7,2,RR,Sawai Mansingh Stadium,29 April 2018
993,Shubman Gill,57,32,6,2,CSK,Eden Gardens,03 May 2018
994,Robin Uthappa,54,32,6,3,MI,Wankhede Stadium,06 May 2018
995,Suresh Raina,52,32,6,1,RR,Sawai Mansingh Stadium,11 May 2018
996,Shane Watson,117,33,11,8,SRH,Wankhede Stadium,27 May 2018
997,Shikhar Dhawan,78,33,13,1,RR,Rajiv Gandhi Intl. Cricket Stadium,09 April 2018
998,Sanju Samson,92,34,2,10,RCB,M. Chinnaswamy Stadium,15 April 2018
999,Rishabh Pant,85,34,6,7,RCB,M. Chinnaswamy Stadium,21 April 2018
1000,MS Dhoni,79,34,6,5,PBKS,IS Bindra Stadium,15 April 2018
1001,Rishabh Pant,79,34,7,4,CSK,Maharashtra Cricket Association's International Stadium,30 April 2018
1002,Rishabh Pant,64,34,4,4,MI,Arun Jaitley Stadium,20 May 2018
1003,Suryakumar Yadav,57,34,6,3,PBKS,Holkar Cricket Stadium,04 May 2018
1004,Shreyas Iyer,50,34,3,3,RR,Arun Jaitley Stadium,02 May 2018
1005,Jos Buttler,94,35,9,5,MI,Wankhede Stadium,13 May 2018
1006,Kane Williamson,84,35,6,5,CSK,Rajiv Gandhi Intl. Cricket Stadium,22 April 2018
1007,Suresh Raina,75,35,6,4,MI,Maharashtra Cricket Association's International Stadium,28 April 2018
1008,Ishan Kishan,58,35,4,3,RR,Sawai Mansingh Stadium,22 April 2018
1009,Kane Williamson,56,35,5,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,07 May 2018
1010,Quinton de Kock,53,35,1,4,CSK,M. Chinnaswamy Stadium,25 April 2018
1011,Dinesh Karthik,52,35,4,2,RR,Eden Gardens,23 May 2018
1012,Rishabh Pant,128,36,15,7,SRH,Arun Jaitley Stadium,10 May 2018
1013,KL Rahul,94,36,10,3,MI,Wankhede Stadium,16 May 2018
1014,AB de Villiers,57,36,2,4,PBKS,M. Chinnaswamy Stadium,13 April 2018
1015,Gautam Gambhir,55,36,5,1,PBKS,IS Bindra Stadium,08 April 2018
1016,Chris Lynn,55,36,4,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,19 May 2018
1017,Sanju Samson,52,36,4,0,MI,Sawai Mansingh Stadium,22 April 2018
1018,Virat Kohli,68,37,5,3,KKR,M. Chinnaswamy Stadium,29 April 2018
1019,Faf du Plessis,67,37,5,4,SRH,Wankhede Stadium,22 May 2018
1020,Evin Lewis,60,37,4,4,RR,Wankhede Stadium,13 May 2018
1021,Manish Pandey,57,37,3,1,PBKS,IS Bindra Stadium,19 April 2018
1022,Parthiv Patel,53,37,5,2,CSK,Maharashtra Cricket Association's International Stadium,05 May 2018
1023,Jos Buttler,51,37,7,0,PBKS,Holkar Cricket Stadium,06 May 2018
1024,Kane Williamson,51,37,5,2,CSK,Maharashtra Cricket Association's International Stadium,13 May 2018
1025,Sanju Samson,50,37,4,2,KKR,Eden Gardens,23 May 2018
1026,Kane Williamson,83,38,8,2,DC,Arun Jaitley Stadium,10 May 2018
1027,Rahul Tripathi,80,38,5,3,RCB,Sawai Mansingh Stadium,19 May 2018
1028,Shikhar Dhawan,79,38,10,3,CSK,Maharashtra Cricket Association's International Stadium,13 May 2018
1029,Prithvi Shaw,62,38,7,2,KKR,Arun Jaitley Stadium,27 April 2018
1030,Chris Gayle,50,38,6,2,MI,Holkar Cricket Stadium,04 May 2018
1031,Shikhar Dhawan,50,38,5,1,KKR,Rajiv Gandhi Intl. Cricket Stadium,19 May 2018
1032,Chris Gayle,104,39,1,11,SRH,IS Bindra Stadium,19 April 2018
1033,Kane Williamson,54,39,3,2,PBKS,IS Bindra Stadium,19 April 2018
1034,Suresh Raina,54,39,5,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,22 April 2018
1035,Ambati Rayudu,82,40,3,8,RCB,M. Chinnaswamy Stadium,25 April 2018
1036,Virat Kohli,92,41,7,4,MI,Wankhede Stadium,17 April 2018
1037,Shreyas Iyer,57,41,5,1,PBKS,Arun Jaitley Stadium,23 April 2018
1038,Hardik Pandya,50,41,5,1,RCB,M. Chinnaswamy Stadium,01 May 2018
1039,Ajinkya Rahane,65,42,5,1,SRH,Sawai Mansingh Stadium,29 April 2018
1040,Chris Lynn,62,42,7,1,RCB,M. Chinnaswamy Stadium,29 April 2018
1041,Kane Williamson,50,43,4,1,KKR,Eden Gardens,14 April 2018
1042,KL Rahul,84,44,7,3,RR,Holkar Cricket Stadium,06 May 2018
1043,Suresh Raina,61,45,4,2,PBKS,Maharashtra Cricket Association's International Stadium,20 May 2018
1044,KL Rahul,95,48,11,2,RR,Sawai Mansingh Stadium,08 May 2018
1045,Manish Pandey,54,48,3,1,PBKS,Rajiv Gandhi Intl. Cricket Stadium,26 April 2018
1046,Hardik Pandya,91,17,6,9,KKR,Eden Gardens,28 April 2019
1047,Rishabh Pant,78,18,7,7,MI,Wankhede Stadium,24 March 2019
1048,KL Rahul,71,19,7,5,CSK,IS Bindra Stadium,05 May 2019
1049,Andre Russell,65,21,2,9,RCB,Eden Gardens,19 April 2019
1050,Kieron Pollard,83,22,3,10,PBKS,Wankhede Stadium,10 April 2019
1051,Andre Russell,62,23,4,6,DC,Arun Jaitley Stadium,30 March 2019
1052,Sam Curran,55,23,7,2,KKR,IS Bindra Stadium,03 May 2019
1053,Moeen Ali,66,24,5,6,KKR,Eden Gardens,19 April 2019
1054,David Warner,50,24,10,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,17 April 2019
1055,Manish Pandey,83,25,7,3,CSK,Chidambaram,23 April 2019
1056,Chris Gayle,69,25,6,5,DC,Arun Jaitley Stadium,20 April 2019
1057,Shikhar Dhawan,54,25,8,2,RR,Sawai Mansingh Stadium,22 April 2019
1058,Rishabh Pant,78,26,6,4,RR,Sawai Mansingh Stadium,22 April 2019
1059,David Warner,69,26,9,2,RR,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019
1060,Manish Pandey,61,27,9,0,RR,Sawai Mansingh Stadium,27 April 2019
1061,Chris Lynn,54,27,8,2,MI,Eden Gardens,28 April 2019
1062,Jonny Bairstow,114,28,12,7,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
1063,Chris Gayle,99,28,10,5,RCB,IS Bindra Stadium,13 April 2019
1064,Jonny Bairstow,80,28,7,4,KKR,Rajiv Gandhi Intl. Cricket Stadium,21 April 2019
1065,David Warner,67,28,3,5,KKR,Rajiv Gandhi Intl. Cricket Stadium,21 April 2019
1066,AB de Villiers,63,28,5,4,KKR,M. Chinnaswamy Stadium,05 April 2019
1067,Nitish Rana,63,28,2,7,PBKS,Eden Gardens,27 March 2019
1068,Mayank Agarwal,58,28,6,1,KKR,Eden Gardens,27 March 2019
1069,Jos Buttler,89,29,8,7,MI,Wankhede Stadium,13 April 2019
1070,Jos Buttler,69,29,10,2,PBKS,Sawai Mansingh Stadium,25 March 2019
1071,Parthiv Patel,67,29,9,1,RR,Sawai Mansingh Stadium,02 April 2019
1072,Prithvi Shaw,99,30,12,3,KKR,Arun Jaitley Stadium,30 March 2019
1073,Andre Russell,80,30,6,8,MI,Eden Gardens,28 April 2019
1074,David Warner,85,31,9,3,KKR,Eden Gardens,24 March 2019
1075,Virat Kohli,84,31,9,2,KKR,M. Chinnaswamy Stadium,05 April 2019
1076,AB de Villiers,70,31,4,6,MI,M. Chinnaswamy Stadium,28 March 2019
1077,Chris Gayle,63,31,3,7,MI,Wankhede Stadium,10 April 2019
1078,Prithvi Shaw,56,31,6,2,SRH,ACA-VDCA Stadium,08 May 2019
1079,Shane Watson,50,31,3,4,DC,ACA-VDCA Stadium,10 May 2019
1080,Chris Lynn,50,31,6,3,RR,Sawai Mansingh Stadium,07 April 2019
1081,Moeen Ali,50,31,1,5,MI,Wankhede Stadium,15 April 2019
1082,Steve Smith,50,31,8,0,DC,Sawai Mansingh Stadium,22 April 2019
1083,Ajinkya Rahane,105,32,11,3,DC,Sawai Mansingh Stadium,22 April 2019
1084,David Warner,100,32,5,5,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
1085,Shikhar Dhawan,97,32,11,2,KKR,Eden Gardens,12 April 2019
1086,Shubman Gill,76,32,6,4,MI,Eden Gardens,28 April 2019
1087,Shimron Hetmyer,75,32,4,6,SRH,M. Chinnaswamy Stadium,04 May 2019
1088,Nitish Rana,85,33,9,5,RCB,Eden Gardens,19 April 2019
1089,Chris Gayle,79,33,8,4,RR,Sawai Mansingh Stadium,25 March 2019
1090,Faf du Plessis,54,33,2,4,PBKS,Chidambaram,06 April 2019
1091,Yuvraj Singh,53,33,5,3,DC,Wankhede Stadium,24 March 2019
1092,Sanju Samson,102,34,10,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019
1093,Quinton de Kock,81,34,6,4,RR,Wankhede Stadium,13 April 2019
1094,KL Rahul,71,34,7,1,SRH,IS Bindra Stadium,08 April 2019
1095,Quinton de Kock,65,34,6,2,RR,Sawai Mansingh Stadium,20 April 2019
1096,Shubman Gill,65,34,7,2,DC,Eden Gardens,12 April 2019
1097,Suresh Raina,59,34,8,1,DC,Chidambaram,01 May 2019
1098,Suresh Raina,53,34,5,2,PBKS,IS Bindra Stadium,05 May 2019
1099,Shreyas Iyer,52,34,2,3,RCB,Arun Jaitley Stadium,28 April 2019
1100,Dinesh Karthik,97,35,7,9,RR,Eden Gardens,25 April 2019
1101,Shane Watson,96,35,9,6,SRH,Chidambaram,23 April 2019
1102,MS Dhoni,84,35,5,7,RCB,M. Chinnaswamy Stadium,21 April 2019
1103,AB de Villiers,82,35,3,7,PBKS,M. Chinnaswamy Stadium,24 April 2019
1104,Nitish Rana,68,35,8,3,SRH,Eden Gardens,24 March 2019
1105,Quinton de Kock,60,35,6,2,PBKS,IS Bindra Stadium,30 March 2019
1106,AB de Villiers,59,35,5,2,PBKS,IS Bindra Stadium,13 April 2019
1107,Dinesh Karthik,50,35,5,2,DC,Arun Jaitley Stadium,30 March 2019
1108,Chris Lynn,82,36,7,6,CSK,Eden Gardens,14 April 2019
1109,Shubman Gill,65,36,5,2,PBKS,IS Bindra Stadium,03 May 2019
1110,David Miller,59,36,5,3,KKR,Eden Gardens,27 March 2019
1111,Suresh Raina,58,36,7,1,KKR,Eden Gardens,14 April 2019
1112,Shikhar Dhawan,56,36,7,1,PBKS,Arun Jaitley Stadium,20 April 2019
1113,Parthiv Patel,53,36,2,4,CSK,M. Chinnaswamy Stadium,21 April 2019
1114,Shikhar Dhawan,50,36,5,2,RCB,Arun Jaitley Stadium,28 April 2019
1115,Faf du Plessis,96,37,10,4,PBKS,IS Bindra Stadium,05 May 2019
1116,Suryakumar Yadav,71,37,10,0,CSK,Chidambaram,07 May 2019
1117,Manish Pandey,71,37,8,2,MI,Wankhede Stadium,02 May 2019
1118,Shreyas Iyer,67,37,8,2,RCB,M. Chinnaswamy Stadium,07 April 2019
1119,Rohit Sharma,67,37,6,3,CSK,Chidambaram,26 April 2019
1120,Virat Kohli,67,37,8,0,PBKS,IS Bindra Stadium,13 April 2019
1121,Faf du Plessis,50,37,7,1,DC,ACA-VDCA Stadium,10 May 2019
1122,David Warner,81,38,7,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,29 April 2019
1123,KL Rahul,79,38,4,5,SRH,Rajiv Gandhi Intl. Cricket Stadium,29 April 2019
1124,Kane Williamson,70,38,5,4,RCB,M. Chinnaswamy Stadium,04 May 2019
1125,Ajinkya Rahane,70,38,4,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019
1126,Jos Buttler,59,38,8,1,RCB,Sawai Mansingh Stadium,02 April 2019
1127,Suryakumar Yadav,59,38,8,1,CSK,Wankhede Stadium,03 April 2019
1128,Rishabh Pant,53,38,2,5,RR,Arun Jaitley Stadium,04 May 2019
1129,MS Dhoni,75,39,4,4,RR,Chidambaram,31 March 2019
1130,Gurkeerat Mann Singh,65,39,8,1,SRH,M. Chinnaswamy Stadium,04 May 2019
1131,Jonny Bairstow,61,39,3,3,CSK,Rajiv Gandhi Intl. Cricket Stadium,17 April 2019
1132,MS Dhoni,58,39,2,3,RR,Sawai Mansingh Stadium,11 April 2019
1133,David Warner,57,39,3,2,CSK,Chidambaram,23 April 2019
1134,Virat Kohli,100,40,9,4,KKR,Eden Gardens,19 April 2019
1135,Steve Smith,59,40,5,1,MI,Sawai Mansingh Stadium,20 April 2019
1136,Mayank Agarwal,55,40,3,3,SRH,IS Bindra Stadium,08 April 2019
1137,KL Rahul,100,41,6,6,MI,Wankhede Stadium,10 April 2019
1138,AB de Villiers,75,41,6,4,MI,Wankhede Stadium,15 April 2019
1139,Robin Uthappa,67,41,6,2,PBKS,Eden Gardens,27 March 2019
1140,Ambati Rayudu,57,41,2,3,RR,Sawai Mansingh Stadium,11 April 2019
1141,KL Rahul,55,41,3,1,CSK,Chidambaram,06 April 2019
1142,Sarfaraz Khan,67,42,4,2,CSK,Chidambaram,06 April 2019
1143,Shane Watson,80,44,8,4,MI,Rajiv Gandhi Intl. Cricket Stadium,12 May 2019
1144,Steve Smith,73,44,7,1,KKR,Sawai Mansingh Stadium,07 April 2019
1145,Rohit Sharma,55,44,8,0,KKR,Wankhede Stadium,05 May 2019
1146,Rahul Tripathi,50,44,4,0,PBKS,IS Bindra Stadium,16 April 2019
1147,Andre Russell,50,44,5,3,CSK,Chidambaram,09 April 2019
1148,KL Rahul,71,45,6,1,MI,IS Bindra Stadium,30 March 2019
1149,Shreyas Iyer,58,45,5,1,PBKS,Arun Jaitley Stadium,20 April 2019
1150,KL Rahul,52,45,3,2,RR,IS Bindra Stadium,16 April 2019
1151,Chris Lynn,51,45,4,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,21 April 2019
1152,Shikhar Dhawan,51,45,7,0,CSK,Arun Jaitley Stadium,26 March 2019
1153,Kedar Jadhav,58,46,8,1,MI,Wankhede Stadium,03 April 2019
1154,David Warner,51,46,3,1,DC,Rajiv Gandhi Intl. Cricket Stadium,14 April 2019
1155,Riyan Parag,50,47,4,2,DC,Arun Jaitley Stadium,04 May 2019
1156,Quinton de Kock,69,48,6,2,SRH,Wankhede Stadium,02 May 2019
1157,David Warner,70,49,6,1,PBKS,IS Bindra Stadium,08 April 2019
1158,Nicholas Pooran,77,17,5,7,SRH,Dubai International Stadium,08 October 2020
1159,Sanju Samson,74,19,1,9,CSK,Sharjah Cricket Stadium,22 September 2020
1160,Kieron Pollard,60,20,3,5,RCB,Dubai International Stadium,28 September 2020
1161,Hardik Pandya,60,20,2,7,RR,Zayed Cricket Stadium,25 October 2020
1162,Marcus Stoinis,53,20,7,3,PBKS,Dubai International Stadium,20 September 2020
1163,Dinesh Karthik,58,22,8,2,PBKS,Zayed Cricket Stadium,10 October 2020
1164,AB de Villiers,55,22,1,6,RR,Dubai International Stadium,17 October 2020
1165,AB de Villiers,73,23,5,6,KKR,Sharjah Cricket Stadium,12 October 2020
1166,AB de Villiers,55,23,4,4,MI,Dubai International Stadium,28 September 2020
1167,Priyam Garg,51,23,6,1,CSK,Dubai International Stadium,02 October 2020
1168,Sunil Narine,64,24,6,4,DC,Zayed Cricket Stadium,24 October 2020
1169,Marcus Stoinis,53,24,6,2,RCB,Dubai International Stadium,05 October 2020
1170,Ben Stokes,50,24,6,3,PBKS,Zayed Cricket Stadium,30 October 2020
1171,Quinton de Kock,78,25,9,3,KKR,Zayed Cricket Stadium,16 October 2020
1172,David Warner,66,25,8,2,DC,Dubai International Stadium,27 October 2020
1173,Chris Gayle,51,25,2,5,KKR,Sharjah Cricket Stadium,26 October 2020
1174,Mayank Agarwal,106,26,10,7,RR,Sharjah Cricket Stadium,27 September 2020
1175,Shreyas Iyer,88,26,7,6,KKR,Sharjah Cricket Stadium,03 October 2020
1176,Shikhar Dhawan,78,26,6,2,SRH,Zayed Cricket Stadium,08 November 2020
1177,Deepak Hooda,62,26,3,4,CSK,Zayed Cricket Stadium,01 November 2020
1178,Steve Smith,50,26,7,2,PBKS,Sharjah Cricket Stadium,27 September 2020
1179,Wriddhiman Saha,87,27,12,2,DC,Dubai International Stadium,27 October 2020
1180,Sanju Samson,85,27,4,7,PBKS,Sharjah Cricket Stadium,27 September 2020
1181,Sanju Samson,54,27,4,3,MI,Zayed Cricket Stadium,25 October 2020
1182,Nicholas Pooran,53,27,6,3,DC,Dubai International Stadium,20 October 2020
1183,Ben Stokes,107,28,14,3,MI,Zayed Cricket Stadium,25 October 2020
1184,Shikhar Dhawan,106,28,12,3,PBKS,Dubai International Stadium,20 October 2020
1185,Jonny Bairstow,97,28,7,6,PBKS,Dubai International Stadium,08 October 2020
1186,Manish Pandey,83,28,4,8,RR,Dubai International Stadium,22 October 2020
1187,Shikhar Dhawan,101,29,14,1,CSK,Sharjah Cricket Stadium,17 October 2020
1188,Suryakumar Yadav,79,29,10,3,RCB,Zayed Cricket Stadium,28 October 2020
1189,Faf du Plessis,72,29,1,7,RR,Sharjah Cricket Stadium,22 September 2020
1190,Ishan Kishan,68,29,6,5,CSK,Sharjah Cricket Stadium,23 October 2020
1191,AB de Villiers,51,29,4,2,SRH,Dubai International Stadium,21 September 2020
1192,Devdutt Padikkal,74,30,12,1,MI,Zayed Cricket Stadium,28 October 2020
1193,Eoin Morgan,68,30,5,6,RR,Dubai International Stadium,01 November 2020
1194,Shikhar Dhawan,57,30,6,2,RR,Dubai International Stadium,14 October 2020
1195,Steve Smith,57,30,6,1,RCB,Dubai International Stadium,17 October 2020
1196,Ishan Kishan,55,30,4,3,DC,Dubai International Stadium,05 November 2020
1197,Rahul Tewatia,53,30,0,7,PBKS,Sharjah Cricket Stadium,27 September 2020
1198,Suryakumar Yadav,53,30,6,1,DC,Zayed Cricket Stadium,11 October 2020
1199,Shane Watson,83,31,11,3,PBKS,Dubai International Stadium,04 October 2020
1200,Rahul Tripathi,81,31,8,3,CSK,Zayed Cricket Stadium,07 October 2020
1201,Aaron Finch,52,31,7,1,MI,Dubai International Stadium,28 September 2020
1202,Quinton de Kock,67,32,4,4,SRH,Sharjah Cricket Stadium,04 October 2020
1203,Nitish Rana,58,32,4,4,DC,Sharjah Cricket Stadium,03 October 2020
1204,Chris Gayle,99,33,6,8,RR,Zayed Cricket Stadium,30 October 2020
1205,Faf du Plessis,87,33,11,1,PBKS,Dubai International Stadium,04 October 2020
1206,Suryakumar Yadav,79,33,11,2,RR,Zayed Cricket Stadium,06 October 2020
1207,Ambati Rayudu,71,33,6,3,MI,Zayed Cricket Stadium,19 September 2020
1208,Mayank Agarwal,56,33,6,1,KKR,Zayed Cricket Stadium,10 October 2020
