,Player,Runs,BF,4s,6s,Against,Venue,Match Date
426,Virat Kohli,57,43,5,2,CSK,Chidambaram,12 April 2012
427,Sachin Tendulkar,58,44,6,0,RR,Sawai Mansingh Stadium,20 May 2012
428,Mandeep Singh,56,44,5,1,CSK,Chidambaram,28 April 2012
429,Jacques Kallis,79,45,7,3,MI,Eden Gardens,12 May 2012
430,Herschelle Gibbs,66,48,7,2,KKR,Eden Gardens,12 May 2012
431,Mahela Jayawardena,56,48,8,0,PBKS,Arun Jaitley Stadium,15 May 2012
432,Shaun Marsh,64,49,7,1,PWI,IS Bindra Stadium,12 April 2012
433,Shikhar Dhawan,50,49,4,1,KKR,Barabati Stadium,22 April 2012
434,Robin Uthappa,60,52,6,0,DC,Maharashtra Cricket Association's International Stadium,24 April 2012
435,Chris Gayle,175,17,13,17,PWI,M. Chinnaswamy Stadium,23 April 2013
436,Kieron Pollard,66,20,2,8,SRH,Wankhede Stadium,13 May 2013
437,Dwayne Smith,68,21,6,5,CSK,Arun Jaitley Stadium,21 May 2013
438,AB de Villiers,50,23,6,2,PWI,Maharashtra Cricket Association's International Stadium,02 May 2013
439,David Miller,101,24,8,7,RCB,IS Bindra Stadium,06 May 2013
440,MS Dhoni,51,24,5,3,MI,Chidambaram,06 April 2013
441,David Warner,51,24,4,4,PWI,Shaheed Veer Narayan Singh International Cricket Stadium,28 April 2013
442,Shane Watson,70,25,6,6,CSK,Sawai Mansingh Stadium,12 May 2013
443,David Miller,51,25,5,2,CSK,Chidambaram,02 May 2013
444,AB de Villiers,64,26,8,1,CSK,Chidambaram,13 April 2013
445,Azhar Mahmood,80,27,8,4,MI,HPCA Stadium,18 May 2013
446,Chris Gayle,61,27,6,3,PBKS,IS Bindra Stadium,06 May 2013
447,Rohit Sharma,79,28,6,6,PBKS,Wankhede Stadium,29 April 2013
448,Virat Kohli,56,28,6,4,CSK,M. Chinnaswamy Stadium,18 May 2013
449,Shane Watson,101,29,6,6,CSK,Chidambaram,22 April 2013
450,Dinesh Karthik,86,29,14,2,DC,Wankhede Stadium,09 April 2013
451,Suresh Raina,82,29,5,5,MI,Arun Jaitley Stadium,21 May 2013
452,David Miller,80,29,5,5,PWI,IS Bindra Stadium,21 April 2013
453,Brad Hodge,54,29,2,5,SRH,Arun Jaitley Stadium,22 May 2013
454,Rohit Sharma,62,30,3,5,PWI,Wankhede Stadium,13 April 2013
455,Aditya Tare,59,30,8,1,RR,Wankhede Stadium,15 May 2013
456,MS Dhoni,58,30,2,4,DC,Chidambaram,14 May 2013
457,Michael Hussey,95,31,11,2,KKR,Chidambaram,28 April 2013
458,Virender Sehwag,95,31,13,2,MI,Arun Jaitley Stadium,21 April 2013
459,Virat Kohli,93,31,11,4,SRH,M. Chinnaswamy Stadium,09 April 2013
460,Michael Hussey,88,31,13,1,RR,Chidambaram,22 April 2013
461,Rohit Sharma,73,31,5,5,DC,Arun Jaitley Stadium,21 April 2013
462,Gautam Gambhir,60,31,9,0,PBKS,IS Bindra Stadium,16 April 2013
463,Dinesh Karthik,60,31,3,4,RCB,M. Chinnaswamy Stadium,04 April 2013
464,Kieron Pollard,60,31,7,3,CSK,Eden Gardens,26 May 2013
465,Aaron Finch,52,31,3,4,DC,Maharashtra Cricket Association's International Stadium,19 May 2013
466,Suresh Raina,100,32,7,6,PBKS,Chidambaram,02 May 2013
467,Chris Gayle,85,32,4,9,KKR,M. Chinnaswamy Stadium,11 April 2013
468,Yusuf Pathan,72,32,8,2,PWI,JSCA Stadium,15 May 2013
469,Aaron Finch,67,32,10,2,CSK,Chidambaram,15 April 2013
470,Michael Hussey,67,32,5,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,08 May 2013
471,MS Dhoni,67,32,7,4,SRH,Chidambaram,25 April 2013
472,Virat Kohli,65,32,7,1,DC,M. Chinnaswamy Stadium,16 April 2013
473,Sanju Samson,63,32,7,2,RCB,Sawai Mansingh Stadium,29 April 2013
474,David Miller,56,32,1,5,MI,Wankhede Stadium,29 April 2013
475,Cameron White,52,32,3,3,RCB,M. Chinnaswamy Stadium,09 April 2013
476,Aaron Finch,64,33,8,2,PBKS,IS Bindra Stadium,21 April 2013
477,Suresh Raina,51,33,4,2,RR,Chidambaram,22 April 2013
478,Robin Uthappa,75,34,5,5,RCB,Maharashtra Cricket Association's International Stadium,02 May 2013
479,Shaun Marsh,73,34,8,2,CSK,Chidambaram,02 May 2013
480,Dwayne Smith,62,34,3,5,KKR,Eden Gardens,24 April 2013
481,David Warner,61,34,5,4,MI,Wankhede Stadium,09 April 2013
482,Mahela Jayawardena,59,34,8,1,MI,Arun Jaitley Stadium,21 April 2013
483,Suresh Raina,99,35,11,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,08 May 2013
484,David Warner,66,35,6,3,KKR,Shaheed Veer Narayan Singh International Cricket Stadium,01 May 2013
485,Kieron Pollard,57,35,4,5,CSK,Chidambaram,06 April 2013
486,Eoin Morgan,51,35,3,3,RR,Sawai Mansingh Stadium,08 April 2013
487,Dwayne Smith,50,35,4,3,RCB,Wankhede Stadium,27 April 2013
488,Michael Hussey,86,36,11,2,PBKS,IS Bindra Stadium,10 April 2013
489,Aaron Finch,64,36,6,3,RR,Maharashtra Cricket Association's International Stadium,11 April 2013
490,Ben Rohrer,64,36,9,1,RR,Sawai Mansingh Stadium,07 May 2013
491,Azhar Mahmood,61,36,8,1,RCB,M. Chinnaswamy Stadium,14 May 2013
492,Shikhar Dhawan,59,36,6,2,MI,Wankhede Stadium,13 May 2013
493,Rahul Dravid,58,36,9,1,PWI,Sawai Mansingh Stadium,05 May 2013
494,Ajinkya Rahane,67,37,6,2,PWI,Sawai Mansingh Stadium,05 May 2013
495,Ajinkya Rahane,63,37,5,1,DC,Sawai Mansingh Stadium,07 May 2013
496,Darren Sammy,60,37,8,1,RR,Sawai Mansingh Stadium,27 April 2013
497,Chris Gayle,92,38,11,5,MI,M. Chinnaswamy Stadium,04 April 2013
498,Dwayne Smith,62,38,6,2,RR,Eden Gardens,24 May 2013
499,Shane Watson,98,39,13,4,SRH,Sawai Mansingh Stadium,27 April 2013
500,Mandeep Singh,77,39,7,0,PWI,IS Bindra Stadium,21 April 2013
501,Shaun Marsh,63,39,11,0,MI,HPCA Stadium,18 May 2013
502,Gautam Gambhir,59,39,7,1,RCB,M. Chinnaswamy Stadium,11 April 2013
503,Virat Kohli,57,39,6,2,PBKS,M. Chinnaswamy Stadium,14 May 2013
504,Gautam Gambhir,53,39,6,1,SRH,Eden Gardens,14 April 2013
505,Michael Hussey,86,40,10,2,MI,Arun Jaitley Stadium,21 May 2013
506,Chris Gayle,77,40,4,6,PBKS,M. Chinnaswamy Stadium,14 May 2013
507,Shikhar Dhawan,73,40,9,1,MI,Rajiv Gandhi Intl. Cricket Stadium,01 May 2013
508,Manish Pandey,66,40,8,1,KKR,JSCA Stadium,15 May 2013
509,Rahul Dravid,65,40,6,2,DC,Arun Jaitley Stadium,06 April 2013
510,Robin Uthappa,54,40,8,1,RR,Sawai Mansingh Stadium,05 May 2013
511,Adam Gilchrist,85,41,10,3,RCB,M. Chinnaswamy Stadium,14 May 2013
512,David Warner,77,41,9,1,RR,Arun Jaitley Stadium,06 April 2013
513,Michael Hussey,65,41,6,2,DC,Arun Jaitley Stadium,18 April 2013
514,MS Dhoni,63,41,3,5,MI,Eden Gardens,26 May 2013
515,Shikhar Dhawan,63,41,10,0,CSK,Chidambaram,25 April 2013
516,Rohit Sharma,74,42,4,5,DC,Wankhede Stadium,09 April 2013
517,Suresh Raina,63,42,5,1,PWI,Maharashtra Cricket Association's International Stadium,30 April 2013
518,Saurabh Tiwary,52,42,2,2,PWI,Maharashtra Cricket Association's International Stadium,02 May 2013
519,Manvinder Bisla,51,42,3,3,PBKS,Eden Gardens,26 April 2013
520,Manvinder Bisla,92,43,14,2,CSK,Chidambaram,28 April 2013
521,Ajinkya Rahane,59,43,3,3,PBKS,IS Bindra Stadium,09 May 2013
522,Virat Kohli,58,43,2,2,CSK,Chidambaram,13 April 2013
523,Biplap Samantray,55,43,6,1,RR,Rajiv Gandhi Intl. Cricket Stadium,17 May 2013
524,Sachin Tendulkar,54,43,3,2,DC,Arun Jaitley Stadium,21 April 2013
525,Rahul Dravid,54,43,8,0,PWI,Maharashtra Cricket Association's International Stadium,11 April 2013
526,Gautam Gambhir,50,43,6,0,PWI,Maharashtra Cricket Association's International Stadium,09 May 2013
527,Virat Kohli,99,44,10,4,DC,Arun Jaitley Stadium,10 May 2013
528,Shaun Marsh,77,44,6,2,RR,IS Bindra Stadium,09 May 2013
529,Parthiv Patel,61,44,5,2,PBKS,IS Bindra Stadium,11 May 2013
530,Rahul Dravid,53,45,7,0,DC,Sawai Mansingh Stadium,07 May 2013
531,Cheteshwar Pujara,51,45,8,0,PBKS,IS Bindra Stadium,06 May 2013
532,Ajinkya Rahane,68,46,8,1,MI,Sawai Mansingh Stadium,17 April 2013
533,Mahela Jayawardena,66,46,8,1,KKR,Eden Gardens,03 April 2013
534,Murali Vijay,55,49,6,0,RR,Sawai Mansingh Stadium,12 May 2013
535,Murali Vijay,50,50,3,1,PBKS,IS Bindra Stadium,10 April 2013
536,Yusuf Pathan,72,15,5,7,SRH,Eden Gardens,24 May 2014
537,Suresh Raina,87,16,12,6,PBKS,Wankhede Stadium,30 May 2014
538,David Miller,51,19,0,6,RR,Sharjah Cricket Stadium,20 April 2014
539,Virender Sehwag,122,21,12,8,CSK,Wankhede Stadium,30 May 2014
540,Glenn Maxwell,95,21,5,9,SRH,Sharjah Cricket Stadium,22 April 2014
541,Glenn Maxwell,90,22,6,8,CSK,Barabati Stadium,07 May 2014
542,Wriddhiman Saha,54,22,8,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
543,Faf du Plessis,52,22,7,1,PBKS,Barabati Stadium,07 May 2014
544,AB de Villiers,89,23,6,8,SRH,M. Chinnaswamy Stadium,04 May 2014
545,David Miller,66,23,8,3,RCB,M. Chinnaswamy Stadium,09 May 2014
546,Yuvraj Singh,83,24,7,7,RR,M. Chinnaswamy Stadium,11 May 2014
547,Yuvraj Singh,68,24,1,9,DC,M. Chinnaswamy Stadium,13 May 2014
548,Glenn Maxwell,95,25,15,2,CSK,Zayed Cricket Stadium,18 April 2014
549,Corey Anderson,95,25,9,6,RR,Wankhede Stadium,25 May 2014
550,David Warner,90,25,12,3,CSK,JSCA Stadium,22 May 2014
551,AB de Villiers,53,25,1,5,PBKS,M. Chinnaswamy Stadium,09 May 2014
552,Karun Nair,50,26,7,2,MI,Wankhede Stadium,25 May 2014
553,Lendl Simmons,100,27,14,2,PBKS,IS Bindra Stadium,21 May 2014
554,Dwayne Smith,50,27,6,3,RR,Dubai International Stadium,23 April 2014
555,Glenn Maxwell,89,28,8,6,RR,Sharjah Cricket Stadium,20 April 2014
556,Michael Hussey,56,28,7,2,DC,Wankhede Stadium,23 May 2014
557,Yuvraj Singh,52,28,3,5,DC,Sharjah Cricket Stadium,17 April 2014
558,Shane Watson,50,28,5,3,PBKS,Sharjah Cricket Stadium,20 April 2014
559,Wriddhiman Saha,115,29,10,8,KKR,M. Chinnaswamy Stadium,01 June 2014
