,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Unnamed: 0
977,Harbhajan Singh,4.0,22,2,12.0,KKR,Barabati Stadium,14 May 2014,
978,Dhawal Kulkarni,4.0,23,2,12.0,SRH,Zayed Cricket Stadium,18 April 2014,
979,Bhuvneshwar Kumar,4.0,16,2,12.0,RCB,M. Chinnaswamy Stadium,04 May 2014,
980,Karn Sharma,4.0,19,2,12.0,CSK,JSCA Stadium,22 May 2014,
981,Mitchell Starc,4.0,33,2,12.0,KKR,Sharjah Cricket Stadium,24 April 2014,
982,Shakib Al Hasan,4.0,25,2,12.0,CSK,JSCA Stadium,02 May 2014,
983,Rishi Dhawan,4.0,14,2,12.0,RCB,Dubai International Stadium,28 April 2014,
984,Dale Steyn,4.0,31,2,12.0,RR,Narendra Modi Stadium,08 May 2014,
985,Kevon Cooper,4.0,38,2,12.0,MI,Wankhede Stadium,25 May 2014,
986,Varun Aaron,4.0,30,2,12.0,MI,Dubai International Stadium,19 April 2014,
987,Jaydev Unadkat,4.0,29,2,12.0,MI,Sharjah Cricket Stadium,27 April 2014,
988,Rishi Dhawan,4.0,25,2,12.0,RR,IS Bindra Stadium,23 May 2014,
989,Mitchell Starc,4.0,29,2,12.0,RR,Zayed Cricket Stadium,26 April 2014,
990,Harbhajan Singh,4.0,34,2,12.0,PBKS,Wankhede Stadium,03 May 2014,
991,Praveen Kumar,4.0,31,2,12.0,CSK,Wankhede Stadium,10 May 2014,
992,Bhuvneshwar Kumar,4.0,27,2,12.0,RCB,Rajiv Gandhi Intl. Cricket Stadium,20 May 2014,
993,Bhuvneshwar Kumar,4.0,17,2,12.0,MI,Dubai International Stadium,30 April 2014,
994,Krishmar Santokie,4.0,50,2,12.0,RR,Narendra Modi Stadium,19 May 2014,
995,Yuzvendra Chahal,4.0,23,2,12.0,PBKS,Dubai International Stadium,28 April 2014,
996,Wayne Parnell,4.0,21,2,12.0,KKR,Arun Jaitley Stadium,07 May 2014,
997,Morne Morkel,4.0,35,2,12.0,MI,Barabati Stadium,14 May 2014,
998,Axar Patel,4.0,28,2,12.0,DC,IS Bindra Stadium,25 May 2014,
999,Rajat Bhatia,4.0,22,2,12.0,SRH,Zayed Cricket Stadium,18 April 2014,
1000,Axar Patel,4.0,16,2,12.0,KKR,Zayed Cricket Stadium,26 April 2014,
1001,Varun Aaron,4.0,33,2,12.0,SRH,M. Chinnaswamy Stadium,04 May 2014,
