,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
114,Ishant Sharma,11,11,43.0,297,11,2/15,27.0,6.9,23.45,0,0
115,Ishant Sharma,11,11,43.0,297,11,2/15,27.0,6.9,23.45,0,0
116,Rohit Sharma,16,12,23.0,161,11,4/6,14.63,7.0,12.54,1,0
117,Dwayne Bravo,11,11,33.1,259,11,3/34,23.54,7.8,18.09,0,0
118,Amit Singh,5,5,17.3,95,9,4/19,10.55,5.42,11.66,1,0
119,Roelof van der Merwe,10,10,34.0,248,9,2/22,27.55,7.29,22.66,0,0
120,Vinay Kumar,11,11,32.2,271,9,2/30,30.11,8.38,21.55,0,0
121,Suresh Raina,14,10,27.4,164,7,2/17,23.42,5.92,23.71,0,0
122,Andrew Symonds,8,8,24.0,160,7,2/18,22.85,6.66,20.57,0,0
123,Yusuf Pathan,13,11,35.0,243,7,3/34,34.71,6.94,30.0,0,0
124,Brad Hodge,12,9,20.0,161,7,3/29,23.0,8.05,17.14,0,0
125,Sanath Jayasuriya,12,9,19.0,163,7,2/3,23.28,8.57,16.28,0,0
126,Ravindra Jadeja,13,10,23.2,151,6,3/15,25.16,6.47,23.33,0,0
127,Zaheer Khan,6,6,21.0,142,6,3/31,23.66,6.76,21.0,0,0
128,Dimitri Mascarenhas,5,5,19.2,132,6,3/20,22.0,6.82,19.33,0,0
129,Kamran Khan,5,5,17.4,124,6,3/18,20.66,7.01,17.66,0,0
130,Yuvraj Singh,14,9,20.0,142,6,3/13,23.66,7.1,20.0,0,0
131,Ryan Harris,8,8,31.0,230,6,3/27,38.33,7.41,31.0,0,0
132,Siddharth Trivedi,7,7,20.0,152,6,2/19,25.33,7.6,20.0,0,0
133,Jacques Kallis,15,14,46.0,353,6,2/18,58.83,7.67,46.0,0,0
134,Shanthakumaran Sreesanth,7,7,23.0,192,6,2/20,32.0,8.34,23.0,0,0
135,Ajit Agarkar,11,11,31.0,284,6,2/15,47.33,9.16,31.0,0,0
136,Brett Lee,5,5,20.0,111,5,3/15,22.2,5.55,24.0,0,0
