,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
768,Thisara Perera,19,4,475.0,0,3,PBKS,Rajiv Gandhi Intl. Cricket Stadium,19 April 2013
769,Virat Kohli,19,6,316.66,1,2,SRH,M. Chinnaswamy Stadium,09 April 2013
770,Azhar Mahmood,19,6,316.66,3,1,MI,HPCA Stadium,18 May 2013
771,Shane Watson,19,5,380.0,3,1,SRH,Sawai Mansingh Stadium,27 April 2013
772,Robin Uthappa,19,6,316.66,1,2,RR,Maharashtra Cricket Association's International Stadium,11 April 2013
773,Kieron Pollard,19,6,316.66,0,3,SRH,Wankhede Stadium,13 May 2013
774,Chris Gayle,19,5,380.0,0,3,CSK,M. Chinnaswamy Stadium,18 May 2013
775,Rohit Sharma,19,4,475.0,0,3,DC,Wankhede Stadium,09 April 2013
776,Parthiv Patel,18,6,300.0,4,0,MI,Wankhede Stadium,13 May 2013
777,Stuart Binny,18,5,360.0,1,2,DC,Arun Jaitley Stadium,06 April 2013
778,Luke Wright,18,5,360.0,2,1,PBKS,IS Bindra Stadium,21 April 2013
779,Murali Vijay,18,6,300.0,0,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,08 May 2013
780,Ben Rohrer,18,5,360.0,1,2,PBKS,HPCA Stadium,16 May 2013
781,Manpreet Gony,17,4,425.0,1,2,KKR,IS Bindra Stadium,16 April 2013
782,Adam Gilchrist,17,5,340.0,1,2,DC,HPCA Stadium,16 May 2013
783,Azhar Mahmood,17,4,425.0,1,2,MI,HPCA Stadium,18 May 2013
784,Virat Kohli,17,4,425.0,1,2,DC,Arun Jaitley Stadium,10 May 2013
785,Rohit Sharma,17,6,283.33,0,2,PWI,Wankhede Stadium,13 April 2013
786,AB de Villiers,17,5,340.0,2,1,PBKS,IS Bindra Stadium,06 May 2013
787,Rajagopal Sathish,17,4,425.0,1,2,SRH,IS Bindra Stadium,11 May 2013
788,Chris Gayle,17,7,242.85,1,2,KKR,M. Chinnaswamy Stadium,11 April 2013
789,Kieron Pollard,17,5,340.0,0,2,RCB,Wankhede Stadium,27 April 2013
790,David Miller,17,5,340.0,1,2,DC,HPCA Stadium,16 May 2013
791,Chris Gayle,17,5,340.0,1,2,PWI,M. Chinnaswamy Stadium,23 April 2013
792,Ajinkya Rahane,17,5,340.0,2,1,PWI,Sawai Mansingh Stadium,05 May 2013
793,Gurkeerat Mann Singh,17,4,425.0,1,2,KKR,Eden Gardens,26 April 2013
794,Aaron Finch,17,5,340.0,1,2,DC,Maharashtra Cricket Association's International Stadium,19 May 2013
795,Ryan ten Doeschate,17,6,283.33,2,1,PWI,Maharashtra Cricket Association's International Stadium,09 May 2013
796,Brad Hodge,17,5,340.0,1,2,SRH,Arun Jaitley Stadium,22 May 2013
797,Shaun Marsh,17,4,425.0,1,2,CSK,Chidambaram,02 May 2013
798,MS Dhoni,16,6,266.66,1,2,MI,Eden Gardens,26 May 2013
799,Sachin Tendulkar,16,6,266.66,4,0,PWI,Wankhede Stadium,13 April 2013
800,Parthiv Patel,16,6,266.66,2,1,CSK,Rajiv Gandhi Intl. Cricket Stadium,08 May 2013
801,Brad Hodge,16,6,266.66,4,0,MI,Wankhede Stadium,15 May 2013
802,David Hussey,16,5,320.0,2,1,MI,Wankhede Stadium,29 April 2013
803,Shane Watson,16,6,266.66,4,0,CSK,Sawai Mansingh Stadium,12 May 2013
804,Virat Kohli,16,6,266.66,1,2,CSK,M. Chinnaswamy Stadium,18 May 2013
805,Ashish Reddy,16,6,266.66,2,1,CSK,Chidambaram,25 April 2013
806,Dale Steyn,16,6,266.66,2,1,RR,Sawai Mansingh Stadium,27 April 2013
807,Dwayne Smith,16,5,320.0,1,2,RCB,Wankhede Stadium,27 April 2013
808,Dwayne Smith,16,6,266.66,3,0,CSK,Arun Jaitley Stadium,21 May 2013
809,Manvinder Bisla,16,5,320.0,4,0,CSK,Chidambaram,28 April 2013
810,AB de Villiers,16,4,400.0,1,2,PWI,M. Chinnaswamy Stadium,23 April 2013
811,Manan Vohra,16,4,400.0,4,0,PWI,Maharashtra Cricket Association's International Stadium,07 April 2013
812,Luke Wright,16,4,400.0,4,0,PBKS,IS Bindra Stadium,21 April 2013
813,Sachin Tendulkar,16,6,266.66,4,0,RCB,Wankhede Stadium,27 April 2013
814,Darren Sammy,15,4,375.0,0,2,KKR,Rajiv Gandhi Intl. Cricket Stadium,19 May 2013
815,Luke Wright,15,4,375.0,2,1,DC,Maharashtra Cricket Association's International Stadium,19 May 2013
816,David Miller,15,5,300.0,2,1,RCB,IS Bindra Stadium,06 May 2013
817,Chris Gayle,15,4,375.0,2,1,MI,M. Chinnaswamy Stadium,04 April 2013
818,Harbhajan Singh,15,5,300.0,3,0,RCB,Wankhede Stadium,27 April 2013
819,David Miller,15,4,375.0,0,2,PWI,IS Bindra Stadium,21 April 2013
820,Rajagopal Sathish,15,5,300.0,2,1,RCB,IS Bindra Stadium,06 May 2013
821,Virat Kohli,15,5,300.0,2,1,CSK,M. Chinnaswamy Stadium,18 May 2013
822,Chris Gayle,15,5,300.0,2,1,MI,M. Chinnaswamy Stadium,04 April 2013
823,Shane Watson,15,5,300.0,0,2,CSK,Chidambaram,22 April 2013
824,Chris Gayle,15,6,250.0,2,1,RR,Sawai Mansingh Stadium,29 April 2013
825,MS Dhoni,15,4,375.0,2,1,MI,Chidambaram,06 April 2013
826,Dinesh Karthik,15,5,300.0,2,1,DC,Wankhede Stadium,09 April 2013
827,Dwayne Smith,15,5,300.0,0,2,CSK,Arun Jaitley Stadium,21 May 2013
828,Shane Watson,15,4,375.0,2,1,SRH,Sawai Mansingh Stadium,27 April 2013
829,Kieron Pollard,15,5,300.0,2,1,RCB,Wankhede Stadium,27 April 2013
830,David Miller,15,5,300.0,1,1,RCB,IS Bindra Stadium,06 May 2013
831,Thisara Perera,15,6,250.0,1,1,PWI,Rajiv Gandhi Intl. Cricket Stadium,05 April 2013
832,Glenn Maxwell,15,5,300.0,0,2,RR,Wankhede Stadium,15 May 2013
833,Shane Watson,15,5,300.0,1,1,CSK,Chidambaram,22 April 2013
834,Brett Lee,15,5,300.0,0,2,DC,Shaheed Veer Narayan Singh International Cricket Stadium,01 May 2013
835,Virat Kohli,15,5,300.0,3,0,SRH,M. Chinnaswamy Stadium,09 April 2013
836,Chris Gayle,15,5,300.0,2,1,MI,M. Chinnaswamy Stadium,04 April 2013
837,Rohit Sharma,14,4,350.0,0,2,PWI,Wankhede Stadium,13 April 2013
838,Aaron Finch,14,5,280.0,3,0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,28 April 2013
839,Dwayne Bravo,14,6,233.33,3,0,RR,Sawai Mansingh Stadium,12 May 2013
840,Rajat Bhatia,14,4,350.0,0,2,PBKS,IS Bindra Stadium,16 April 2013
841,Angelo Mathews,14,4,350.0,0,2,RCB,Maharashtra Cricket Association's International Stadium,02 May 2013
842,Yusuf Pathan,14,5,280.0,2,1,PWI,JSCA Stadium,15 May 2013
843,Brad Hodge,14,5,280.0,0,2,RCB,Sawai Mansingh Stadium,29 April 2013
844,Manpreet Gony,14,6,233.33,1,1,KKR,IS Bindra Stadium,16 April 2013
845,Dinesh Karthik,14,5,280.0,2,1,CSK,Wankhede Stadium,05 May 2013
846,Adam Gilchrist,14,6,233.33,2,1,PWI,Maharashtra Cricket Association's International Stadium,07 April 2013
847,MS Dhoni,14,5,280.0,1,1,DC,Chidambaram,14 May 2013
848,Dinesh Karthik,14,5,280.0,3,0,DC,Wankhede Stadium,09 April 2013
849,Stuart Binny,14,5,280.0,1,1,DC,Arun Jaitley Stadium,06 April 2013
850,Michael Hussey,14,6,233.33,3,0,KKR,Chidambaram,28 April 2013
851,Shane Watson,14,4,350.0,2,1,SRH,Sawai Mansingh Stadium,27 April 2013
