Season,Name,Nationality,Type,Team,Price
2022,Shreyas Iyer ,Indian ,Batsman , Kolkata Knight Riders,"12,25,00,000 "
2022,Mohammad  Nabi ,Overseas ,All-Rounder , Kolkata Knight Riders,"1,00,00,000 "
2022,Nitish Rana ,Indian ,All-Rounder , Kolkata Knight Riders,"8,00,00,000 "
2022,Sam Billings  ,Overseas ,Wicket Keeper , Kolkata Knight Riders,"2,00,00,000 "
2022,Umesh Yadav ,Indian ,Bowler , Kolkata Knight Riders,"2,00,00,000 "
2022,Shivam  Mavi ,Indian ,All-Rounder , Kolkata Knight Riders,"7,25,00,000 "
2022,Sheldon Jackson ,Indian ,Wicket Keeper , Kolkata Knight Riders,"60,00,000 "
2022,Ajinkya Rahane ,Indian ,Batsman , Kolkata Knight Riders,"1,00,00,000 "
2022,Rinku Singh ,Indian ,Batsman , Kolkata Knight Riders,"55,00,000 "
2022,Anukul Roy ,Indian ,All-Rounder , Kolkata Knight Riders,"20,00,000 "
2022,Alex Hales  ,Overseas ,Batsman , Kolkata Knight Riders,"1,50,00,000 "
2022,Rasikh Dar ,Indian ,Bowler , Kolkata Knight Riders,"20,00,000 "
2022,Tim Southee ,Overseas ,Bowler , Kolkata Knight Riders,"1,50,00,000 "
2022,Baba Indrajith ,Indian ,Wicket Keeper , Kolkata Knight Riders,"20,00,000 "
2022,Chamika Karunaratne ,Overseas ,All-Rounder , Kolkata Knight Riders,"50,00,000 "
2022,Abhijeet Tomar ,Indian ,Batsman , Kolkata Knight Riders,"40,00,000 "
2022,Aman Khan ,Indian ,All-Rounder , Kolkata Knight Riders,"20,00,000 "
2022,Ramesh Kumar ,Indian ,Batsman , Kolkata Knight Riders,"20,00,000 "
2022,Pratham Singh ,Indian ,Batsman , Kolkata Knight Riders,"20,00,000 "
2022,Ashok Sharma ,Indian ,Bowler , Kolkata Knight Riders,"55,00,000 "
2022,Quinton De Kock ,Overseas ,Wicket Keeper , Lucknow Super Giants,"6,75,00,000 "
2022,Manish Pandey ,Indian ,Batsman , Lucknow Super Giants,"4,60,00,000 "
2022,Krunal Pandya ,Indian ,All-Rounder , Lucknow Super Giants,"8,25,00,000 "
2022,Mark Wood ,Overseas ,Bowler , Lucknow Super Giants,"7,50,00,000 "
2022,Avesh Khan ,Indian ,Bowler , Lucknow Super Giants,"10,00,00,000 "
2022,Ankit Singh Rajpoot ,Indian ,Bowler , Lucknow Super Giants,"50,00,000 "
2022,K. Gowtham ,Indian ,All-Rounder , Lucknow Super Giants,"90,00,000 "
2022,Dushmanta Chameera ,Overseas ,Bowler , Lucknow Super Giants,"2,00,00,000 "
